id,Etapa,U. Medida,Código,Descripción
1,Finca,KG,MP0001,Ajo semilla - VARIEDAD: Blanco Valenciano
2,Finca,KG,MP0002,Ajo semilla - VARIEDAD: Blanco CHINO
3,Finca,KG,MP0003,Ajo semilla - VARIEDAD: Blanco RUIZ
4,Finca,m2,MP0006,Barbecho
1,Finca,m2,PR0002,Ajo - VARIEDAD: Blanco Valenciano 
2,Finca,m2,PR0003,Ajo - VARIEDAD: Blanco CHINO
3,Finca,m2,PR0004,Ajo - VARIEDAD: Blanco RUIZ
1,Finca,bins,PF0002,Ajo Cosechado - VARIEDAD: Blanco Valenciano
2,Finca,bins,PF0003,Ajo Cosechado - VARIEDAD: Blanco CHINO
3,Finca,bins,PF0004,Ajo Cosechado - VARIEDAD: Blanco RUIZ
1,pre clasificdo,cajones,PP0001,Ajo sin clasificar / VARIEDAD: Blanco Valenciano. 
2,pre clasificado,cajones,PP0002,Ajo sin clasificar / VARIEDAD: Blanco CHINO
3,pre clasificado,cajones,PP0003,Ajo sin clasificar / VARIEDAD: Blanco RUIZ
1,Selección,cajones,PP0004,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 3
1,Selección,cajones,PP0005,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 4
1,Selección,cajones,PP0006,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 5
1,Selección,cajones,PP0007,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 5+
1,Selección,cajones,PP0008,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 6
1,Selección,cajones,PP0009,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 6+
1,Selección,cajones,PP0010,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 7
1,Selección,cajones,PP0011,Ajo Clasificado / VARIEDAD: Blanco Valenciano. / CALIBRE: 7+
2,Selección,cajones,PP0012,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 3
2,Selección,cajones,PP0013,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 4
2,Selección,cajones,PP0014,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 5
2,Selección,cajones,PP0015,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 5+
2,Selección,cajones,PP0016,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 6
2,Selección,cajones,PP0017,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 6+
2,Selección,cajones,PP0018,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 7
2,Selección,cajones,PP0019,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 7+
3,Selección,cajones,PP0020,Ajo Clasificado / VARIEDAD: Blanco RUIZ. / CALIBRE: 3
