Etapa,Entrada,Producto,Salida
Finca,MP0001,PR0002,PF0002
Finca,MP0006,MP0006,0
Finca,MP0002,PR0003,PF0003
Finca,MP0003,PR0004,PF0004
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
Finca,0,0,0
