id,Etapa,U. Medida,Código,Descripción
1,Finca,KG,MP0002,Ajo semilla - VARIEDAD: Blanco CHINO
1,Finca,KG,MP0003,Ajo semilla - VARIEDAD: Blanco RUIZ
1,Finca,KG,PR0002,Ajo - VARIEDAD: Blanco CHINO
,Finca,KG,PR0003,Ajo - VARIEDAD: Blanco RUIZ
1,Finca,bins,PF0003,Ajo Cosechado - VARIEDAD: Blanco CHINO
,Finca,bins,PF0004,Ajo Cosechado - VARIEDAD: Blanco RUIZ
,pre clasificado,cajones,PP0002,Ajo sin clasificar / VARIEDAD: Blanco CHINO
,pre calisifcado,cajones,PP0003,Ajo sin clasificar / VARIEDAD: Blanco RUIZ
1,Selección,cajones,PP0139,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 3
1,Selección,cajones,PP0140,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 4
1,Selección,cajones,PP0141,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 5
1,Selección,cajones,PP0142,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 5+
1,Selección,cajones,PP0143,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 6
1,Selección,cajones,PP0144,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 6+
1,Selección,cajones,PP0145,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 7
1,Selección,cajones,PP0146,Ajo Clasificado / VARIEDAD: Blanco CHINO. / CALIBRE: 7+
1,Pelado,Cajas X5,PP0147,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE:3 /Primera Cajas X5
1,Pelado,Cajas X10 ,PP0148,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE:3 /Primera Cajas X10 
1,Pelado,Cajas X13,PP0149,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE:3 /Primera Cajas X13
1,Pelado,Cajon x20,PP0150,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE:3 /Primera Cajon x20
1,Pelado,Cajas X5,PP0151,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 3/ Segunda Cajas X5
1,Pelado,Cajas X10 ,PP0152,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 3/ Segunda Cajas X10 
1,Pelado,Cajas X13,PP0153,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 3/ Segunda Cajas X13
1,Pelado,Cajon x20,PP0154,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 3/ Segunda Cajon x20
1,Pelado,Cajas X5,PP0155,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Primera Cajas X5
1,Pelado,Cajas X10 ,PP0156,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Primera Cajas X10 
1,Pelado,Cajas X13,PP0157,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Primera Cajas X13
1,Pelado,Cajon x20,PP0158,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Primera Cajon x20
1,Pelado,Cajas X5,PP0159,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Segunda Cajas X5
1,Pelado,Cajas X10 ,PP0160,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Segunda Cajas X10 
1,Pelado,Cajas X13,PP0161,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Segunda Cajas X13
1,Pelado,Cajon x20,PP0162,Ajo Pelado / VARIEDAD: Blanco CHINO. / CALIBRE: 4 / Segunda Cajon x20
