Etapa,Entrada,Producto,Salida
Finca,MP0002,PR0002,PF0003
Preclasificado,PF0003,,PP0002
Preclasificado,PF0003,,PP0139
Preclasificado,PF0003,,PP0140
Preclasificado,PF0003,,PP0141
Preclasificado,PF0003,,PP0142
Preclasificado,PF0003,,PP0143
Preclasificado,PF0003,,PP0144
Preclasificado,PF0003,,PP0145
Preclasificado,PF0003,,PP0146
selección,PP0002,,PP0139
selección,PP0002,,PP0140
selección,PP0002,,PP0141
selección,PP0002,,PP0142
selección,PP0002,,PP0143
selección,PP0002,,PP0144
selección,PP0002,,PP0145
selección,PP0002,,PP0146
Pelado,PP0139,,PP0147
Pelado,PP0140,,PP0148
Pelado,PP0141,,PP0149
Pelado,PP0142,,PP0150
Pelado,PP0143,,PP0151
Pelado,PP0144,,PP0152
Pelado,PP0145,,PP0153
Pelado,PP0146,,PP0154
Pelado,,,PP0155
Pelado,,,PP0156
Pelado,,,PP0157
Pelado,,,PP0158
Pelado,,,PP0159
Pelado,,,PP0160
Pelado,,,PP0161
Pelado,,,PP0162
Pelado,,,PP0163
Pelado,,,PP0164
Pelado,,,PP0165
Pelado,,,PP0166
Pelado,,,PP0167
Pelado,,,PP0168
Pelado,,,PP0169
Pesado y etiquetado,PP0147,,PP0170
Pesado y etiquetado,PP0148,,PP0171
Pesado y etiquetado,PP0149,,PP0172
Pesado y etiquetado,PP0150,,PP0173
Pesado y etiquetado,PP0151,,PP0174
Pesado y etiquetado,PP0152,,PP0175
Pesado y etiquetado,PP0153,,PP0176
Pesado y etiquetado,PP0154,,PP0177
Pesado y etiquetado,PP0155,,PP0178
Pesado y etiquetado,PP0156,,PP0179
Pesado y etiquetado,PP0157,,PP0180
Pesado y etiquetado,PP0158,,PP0181
Pesado y etiquetado,PP0159,,PP0182
Pesado y etiquetado,PP0160,,PP0183
Pesado y etiquetado,PP0161,,PP0184
Pesado y etiquetado,PP0162,,PP0185
Pesado y etiquetado,PP0163,,PP0186
Pesado y etiquetado,PP0164,,PP0187
Pesado y etiquetado,PP0165,,PP0188
Pesado y etiquetado,PP0166,,PP0189
Pesado y etiquetado,PP0167,,PP0190
Pesado y etiquetado,PP0168,,PP0191
Pesado y etiquetado,PP0169,,PP0192
Pesado y etiquetado,,,PP0193
Pesado y etiquetado,,,PP0194
Pesado y etiquetado,,,PP0195
Pesado y etiquetado,,,PP0196
Pesado y etiquetado,,,PP0197
Pesado y etiquetado,,,PP0198
Pesado y etiquetado,,,PP0199
Pesado y etiquetado,,,PP0200
Pesado y etiquetado,,,PP0201
Pesado y etiquetado,,,PP0202
Pesado y etiquetado,,,PP0203
Pesado y etiquetado,,,PP0204
Pesado y etiquetado,,,PP0205
Pesado y etiquetado,,,PP0206
Pesado y etiquetado,,,PP0207
Pesado y etiquetado,,,PP0208
Pesado y etiquetado,,,PP0209
Pesado y etiquetado,,,PP0210
Pesado y etiquetado,,,PP0211
Pesado y etiquetado,,,PP0212
Pesado y etiquetado,,,PP0213
Pesado y etiquetado,,,PP0214
Pesado y etiquetado,,,PP0215
Pesado y etiquetado,,,PP0216
Pesado y etiquetado,,,PP0217
Pesado y etiquetado,,,PP0218
Pesado y etiquetado,,,PP0219
Pesado y etiquetado,,,PP0220
Pesado y etiquetado,,,PP0221
Pesado y etiquetado,,,PP0222
Pesado y etiquetado,,,PP0223
