codigo,descripcion,unidad_medida,tipo,punto_pedido
AM-CON-0020-Ají_Molido,Ají_Molido,Masa/Volumen,CON,0
AM-CON-1000-Ají_Molido,Ají_Molido,Masa/Volumen,CON,0
SS-CON-0025-Ají_Molido,Ají_Molido,Masa/Volumen,CON,0
SS-CON-1000-Ají_Molido,Ají_Molido,Masa/Volumen,CON,0
AM-VER-1000-Ajo_granulado,Ajo_granulado,Masa/Volumen,VER,0
SS-CON-0050-Ajo_granulado,Ajo_granulado,Masa/Volumen,CON,0
LG-VER-1000-Ajo_polvo,Ajo_polvo,Masa/Volumen,VER,0
AM-REP-1000-Alimidon_de_maiz,Alimidon_de_maiz,Masa/Volumen,REP,0
AM-FRT-1000-Almendras_enteras,Almendras_enteras,Masa/Volumen,FRT,0
LG-LEG-0400-Alpiste ,Alpiste ,Masa/Volumen,LEG,0
LG-LEG-0400-Arbejas_partidas ,Arbejas_partidas ,Masa/Volumen,LEG,0
AM-LEG-0300-Avena_instantánea,Avena_instantánea,Masa/Volumen,LEG,0
AM-REP-1000-Avena_instantánea,Avena_instantánea,Masa/Volumen,REP,0
AM-CON-100-Azucar_impalpable,Azucar_impalpable,Masa/Volumen,CON,0
AM-REP-1000-Azucar_impalpable,Azucar_impalpable,Masa/Volumen,REP,0
AM-REP-0020-Bicarbonato,Bicarbonato,Masa/Volumen,REP,0
AM-REP-1000-Bicarbonato,Bicarbonato,Masa/Volumen,REP,0
AM-ESP-0010-Canela_molida,Canela_molida,Masa/Volumen,ESP,0
AM-ESP-0005-Canela_rama,Canela_rama,Masa/Volumen,ESP,0
AM-VER-0500-Cebolla_en_escama,Cebolla_en_escama,Masa/Volumen,VER,0
AM-VER-1000-Cebolla_en_escama,Cebolla_en_escama,Masa/Volumen,VER,0
AM-VER-1000-Cebolla_en_polvo,Cebolla_en_polvo,Masa/Volumen,VER,0
AM-CON-0010-Chimichurri,Chimichurri,Masa/Volumen,CON,0
AM-CON-1000-Chimichurri,Chimichurri,Masa/Volumen,CON,0
AM-REP-0020-Coco_rallado,Coco_rallado,Masa/Volumen,REP,0
AM-REP-1000-Coco_rallado,Coco_rallado,Masa/Volumen,REP,0
AM-CON-0001-Colorante_para_arroz,Colorante_para_arroz,Masa/Volumen,CON,0
AM-CON-0025-Comino,Comino,Masa/Volumen,CON,0
AM-CON-1000-Comino,Comino,Masa/Volumen,CON,0
AM-CON-0020-CON_para_pizza,CON_para_pizza,Masa/Volumen,CON,0
