"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"SC-01","N/A","1A","6","0.00","458.94"
"SC-02","N/A","1A","6","0.00","0.00"
"3926704","N/A","1A","0","0.00","7.00"
"R-F4000-06","N/A","1A","1","0.00","0.00"
"R-F4000-07","N/A","1A","0","0.00","0.00"
"R-F4000-08","N/A","1A","1","0.00","56.00"
"R-TOYOTA5L-04","N/A","1A","0","0.00","7.15"
"R-TOYOTA5L-05","N/A","1A","0","0.00","7.75"
"R-TOYOTA5L-06","N/A","1A","1","0.00","12.25"
"R-TOYOTA5L-07","N/A","1A","1","0.00","181.00"
"R-TOYOTA5L-08","N/A","1A","4","0.00","168.00"
"R-TOYOTA5L-09","N/A","1A","0","0.00","0.00"
"R-TOYOTA5L-10","N/A","1A","1","0.00","0.00"
"R-TOYOTA5L-11","N/A","1A","1","0.00","0.00"
"R-TOYOTAIMV06","N/A","1A","0","0.00","0.00"
"R-TOYOTAIMV07","N/A","1A","0","0.00","0.00"
"R-TOYOTAIMV08","N/A","1A","0","0.00","0.00"
"R-TOYOTAIMV09","N/A","1A","0","0.00","0.00"
"R-TOYOTAIMV10","N/A","1A","0","0.00","82.00"
"R-TOYOTAIMV11","N/A","1A","0","0.00","2.60"
"R-TOYOTAIMV12","N/A","1A","1","0.00","0.00"
"R-TOYOTAIMV13","N/A","1A","2","0.00","172.00"
"R-TOYOTAIMV14","N/A","1A","10","0.00","6.95"
"R-TOYOTAIMV15","N/A","1A","1","0.00","2.20"
"R-TOYOTAIMV16","N/A","1A","1","0.00","5.19"
"R-TOYOTAIMV17","N/A","1A","6","0.00","5.19"
"R-TOYOTAIMV18","N/A","1A","1","0.00","281.79"
"R-TOYOTAIMV19","N/A","1A","5","0.00","216.00"
"R-TOYOTAIMV20","N/A","1A","5","0.00","30.00"
"R-TOYOTAIMV21","N/A","1A","0","0.00","0.00"
"R-TOYOTAIMV22","N/A","1A","0","0.00","98.00"
"R-TOYOTAIMV23","N/A","1A","1","0.00","86.14"
"R-CARRETON1","N/A","1A","0","0.00","2.90"
"R-FIATCARGO8","N/A","1A","1","0.00","133.39"
"R-FIATCARGO9","N/A","1A","1","0.00","37.50"
"R-STRALIS","N/A","1A","2","0.00","196.53"
"025105-010380","FRD","1A","0","0.00","203.67"
"025106-06012","FRD","1A","38","0.00","810.96"
"025205-010290E","FRD","1A","2","0.00","1,253.34"
"025508-03010","FRD","1A","0","0.00","548.00"
"040113-01014","FRD","1A","1","0.00","484.06"
"040113-03012","FRD","1A","0","0.00","26.11"
"040123-010410","FRD","1A","1","0.00","275.66"
"040123-010420","FRD","1A","0","0.00","1,399.00"
"040203-02015","FRD","1A","7","0.00","599.03"
"040203-02018","FRD","1A","0","0.00","981.89"
"040212-030210","FRD","1A","0","0.00","62.51"
"040300-02013","FRD","1A","1","0.00","105.60"
"040300-02015","FRD","1A","1","0.00","193.98"
"040603-010170","FRD","1A","4","0.00","201.04"
"040604-01018","FRD","1A","0","0.00","47.56"
"040604-01020","FRD","1A","1","0.00","109.50"
"080102-05005","FRD","1A","2","0.00","1,070.21"
"080102-05007","FRD","1A","1","0.00","267.98"
"080900-05007","FRD","1A","1","0.00","178.00"
"083002-02013","FRD","1A","4","0.00","1,290.00"
"083002-02015","FRD","1A","3","0.00","1,269.00"
"083002-04009","FRD","1A","4","0.00","282.02"
"083203-010380","FRD","1A","2","0.00","585.00"
"083203-03019","FRD","1A","0","0.00","600.00"
"083204-02027","FRD","1A","11","0.00","1,200.00"
"150021-81170","FRD","1A","4","0.00","219.80"
"923105-02002","FRD","1A","1","0.00","586.02"
"925105-06012","FRD","1A","2","0.00","202.83"
"940404-01011","FRD","1A","3","0.00","2,405.10"
"940404-010131","FRD","1A","0","0.00","87.91"
"980204-05014","FRD","1A","1","0.00","19.46"
"980204-09011","FRD","1A","1","0.00","8.25"
"917302-030240","FRD","1A","0","0.00","21.18"
"022001-03007","FRD","1A","2","0.00","4,202.40"
"264020-00090","FRD","1A","3","0.00","4,202.40"
"085620-70606","FRD","1A","2","0.00","309.00"
"3222-3182-49","FRD","1A","1","0.00","151.20"
"3222-3155-55","FRD","1A","1","0.00","338.68"
"088504-02011","FRD","1A","1","0.00","126.88"
