"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"SC-556","N/A","AGRICOLA","1","0","0"
"SC-557","N/A","AGRICOLA","1","0","0"
"SC-558","N/A","AGRICOLA","3","0","0"
"SC-559","N/A","AGRICOLA","6","0","0"
"SC-560","N/A","AGRICOLA","1","0","0"
"SC-561","N/A","AGRICOLA","1","0","0"
"SC-562","N/A","AGRICOLA","1","0","0"
"SC-563","N/A","AGRICOLA","9","0","0"
"SC-564","N/A","AGRICOLA","1","0","0"
"SC-565","N/A","AGRICOLA","1","0","0"
"SC-566","N/A","AGRICOLA","1","0","0"
"SC-567","N/A","AGRICOLA","1","0","0"
"SC-568","N/A","AGRICOLA","1","0","0"
"SC-569","N/A","AGRICOLA","5","0","0"
"SC-570","N/A","AGRICOLA","1","0","0"
"SC-571","N/A","AGRICOLA","1","0","0"
"SC-572","N/A","AGRICOLA","2","0","0"
"SC-573","N/A","AGRICOLA","1","0","0"
"SC-574","N/A","AGRICOLA","1","0","0"
"SC-575","N/A","AGRICOLA","1","0","0"
"APAREJO-001","N/A","BODEGA","2","0","56.7"
"FERRE-0101","N/A","BODEGA","4","0","1.89"
"FERRE-0103","N/A","BODEGA","1","0","6.57"
"FERRE-0104","N/A","BODEGA","0","0","6.87"
"FERRE-0105","N/A","BODEGA","40","0","0.43"
"FERRE-0107","N/A","BODEGA","1","0","6.98"
"FERRE-0108","N/A","BODEGA","3","0","6.98"
"BLUE-001","BUSTIN","BODEGA","2","0","104.8"
"FERRE-0113","N/A","BODEGA","0","0","0.35"
"FERRE-0114","N/A","BODEGA","0","0","0.32"
"FERRE-0115","N/A","BODEGA","0","0","5.2"
"FERRE-0102","N/A","BODEGA","0","0","1.67"
"FERRE-0116","N/A","BODEGA","5","0","3.36"
"FERRE-0117","N/A","BODEGA","0","0","1.04"
"FERRE-0118","N/A","BODEGA","0","0","1.7"
"7798145007383","N/A","BODEGA","0","0","5"
"FERRE-0119","N/A","BODEGA","36","0","1.7"
"FERRE-0120","N/A","BODEGA","0","0","10"
"FERRE-0121","N/A","BODEGA","0","0","2"
"FERRE-0122","N/A","BODEGA","0","0","2"
"FERRE-0123","N/A","BODEGA","12","0","3.5"
"FERRE-0124","N/A","BODEGA","0","0","0.3"
"FERRE-0125","N/A","BODEGA","0","0","12"
"FERRE-0126","N/A","BODEGA","-1","0","13"
"FERRE-0127","N/A","BODEGA","8","0","10"
"FERRE-0128","N/A","BODEGA","2","0","11.74"
"FERRE-0129","N/A","BODEGA","-1","0","0.58"
"FERRE-0130","N/A","BODEGA","0","0","1.27"
"FERRE-0131","N/A","BODEGA","1","0","4.02"
"FERRE-0132","N/A","BODEGA","0","0","1.55"
"FERRE-0133","N/A","BODEGA","0","0","1.33"
"FERRE-0134","N/A","BODEGA","5","0","5.93"
"FERRE-0135","N/A","BODEGA","3","0","1.23"
"FERRE-0136","N/A","BODEGA","2","0","0.52"
"FERRE-0137","N/A","BODEGA","6","0","2.18"
"FERRE-0138","N/A","BODEGA","0","0","0.22"
"FERRE-0139","N/A","BODEGA","4","0","8.18"
"FERRE-0140","N/A","BODEGA","0","0","0.43"
"FERRE-0141","N/A","BODEGA","2","0","1.28"
"FERRE-0142","N/A","BODEGA","0","0","1"
"FERRE-0143","N/A","BODEGA","1","0","1.39"
"FERRE-0144","N/A","BODEGA","4","0","2.7"
"FERRE-0145","N/A","BODEGA","9","0","1.45"
"FERRE-0146","N/A","BODEGA","1","0","1.15"
"NA00014","JDM","BODEGA","1","0","1000"
"NA00016","N/A","BODEGA","4","0","23.21"
"NA00017","N/A","BODEGA","4","0","6.91"
"NA00018","N/A","BODEGA","1","0","218.54"
"NA00019","N/A","BODEGA","4","0","22.69"
"NA00020","N/A","BODEGA","1","0","17.9"
"NA00021","N/A","BODEGA","10","0","25.99"
"NA00022","N/a","BODEGA","1","0","68.79"
"CE20012V","KINGVOX","BODEGA","0","0","828"
"AUT12V","KINGVOX","BODEGA","0","0","40"
"FUSCE200","KINGVOX","BODEGA","0","0","29"
"BOTSIR","KINGVOX","BODEGA","0","0","14"
