"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"SC-254","N/A","6A","2","0","0"
"SC-255","N/A","6A","5","0","0"
"SC-256","N/A","6A","2","0","0"
"SC-257","N/A","6A","1","0","0"
"SC-258","N/A","6A","18","0","0"
"SC-259","N/A","6A","3","0","0"
"SC-260","N/A","6A","3","0","0"
"SC-261","N/A","6A","1","0","0"
"SC-262","N/A","6A","1","0","0"
"SC-263","N/A","6A","1","0","0"
"SC-264","N/A","6A","6","0","0"
"SC-265","N/A","6A","1","0","0"
"SC-266","N/A","6A","1","0","0"
"SC-267","N/A","6A","1","0","0"
"SC-268","N/A","6A","2","0","0"
"SC-269","N/A","6A","1","0","0"
"SC-270","N/A","6A","3","0","0"
"SC-271","N/A","6A","1","0","0"
"SC-272","N/A","6A","1","0","0"
"SC-273","N/A","6A","2","0","0"
"SC-274","N/A","6A","2","0","0"
"SC-275","N/A","6A","4","0","0"
"SC-276","N/A","6A","1","0","0"
"SC-277","N/A","6A","1","0","0"
"SC-278","N/A","6A","2","0","0"
"SC-279","N/A","6A","1","0","0"
"SC-280","N/A","6A","1","0","0"
"SC-281","N/A","6A","1","0","0"
"SC-282","N/A","6A","1","0","0"
"SC-283","N/A","6A","1","0","0"
"SC-284","N/A","6A","4","0","0"
"SC-285","N/A","6A","4","0","0"
"SC-286","N/A","6A","1","0","0"
"SC-287","N/A","6A","1","0","0"
"SC-288","N/A","6A","1","0","0"
"SC-289","N/A","6A","1","0","0"
"SC-290","N/A","6A","1","0","0"
"SC-291","N/A","6A","2","0","0"
"SC-292","N/A","6A","1","0","0"
"SC-293","N/A","6A","1","0","0"
"SC-294","N/A","6A","1","0","0"
"SC-295","N/A","6A","2","0","0"
"SC-296","N/A","6A","1","0","0"
"SC-297","N/A","6A","1","0","0"
"SC-298","N/A","6A","3","0","0"
"SC-299","N/A","6A","1","0","0"
"SC-300","N/A","6A","1","0","0"
"SC-301","N/A","6A","3","0","0"
"SC-302","N/A","6A","1","0","0"
"SC-303","N/A","6A","1","0","0"
"SC-304","N/A","6A","5","0","0"
"SC-305","N/A","6A","4","0","0"
"SC-306","N/A","6A","1","0","0"
"SC-307","N/A","6A","1","0","0"
"SC-308","N/A","6A","1","0","0"
"SC-309","N/A","6A","4","0","0"
"SC-310","N/A","6A","6","0","0"
"SC-311","N/A","6A","1","0","0"
"SC-312","N/A","6A","1","0","0"
"SC-313","N/A","6A","1","0","0"
"SC-314","N/A","6A","1","0","0"
"SC-315","N/A","6A","1","0","0"
"SC-316","N/A","6A","4","0","0"
"SC-317","N/A","6A","6","0","0"
"SC-318","N/A","6A","2","0","0"
"SC-319","N/A","6A","1","0","0"
"EPPSG 17","N/A","6a","-8","0","0"
"MAN R2- 01","N/A","6B","0","0","5.16"
"MAN R2- 02","N/A","6B","36.5","0","6.45"
"MAN R2- 03","N/A","6B","50","0","8.05"
"MAN R2- 04","N/A","6B","0","0","12.11"
"MAN R2- 05","N/A","6B","0","0","20.21"
"MAN R12 - 01","N/A","6B","0","0","0"
"MAN R12 - 02","N/A","6B","0","0","34.06"
"MAN R12 - 03","N/A","6B","0","0","34.76"
"MAN A/A","N/A","6B","10","0","3.25"
"MAN R15 - 01","N/A","6B","10","0","33.3"
"TERM MAN- 01","N/A","6B","29","0","4.9"
"TERM MAN- 02","N/A","6B","31","0","4.83"
"TERM MAN- 03","N/A","6B","16","0","8.1"
"TERM MAN- 04","N/A","6B","25","0","5.94"
"TERM MAN- 05","N/A","6B","44","0","12.62"
"TERM MAN- 06","N/A","6B","42","0","26.76"
"TERM MAN- 07","N/A","6B","41","0","9.2"
"TERM MAN- 08","N/A","6B","47","0","8.08"
"TERM MAN- 09","N/A","6B","2","0","9.55"
"TERM MAN- 10","N/A","6B","4","0","8.82"
"TERM MAN- 11","N/A","6B","4","0","5.53"
"TERM MAN-12","N/A","6B","10","0","8.31"
"TERM MAN-13","N/A","6B","8","0","31.86"
"TERM MAN-14","N/A","6B","3","0","8.31"
"RACORD MAN- 01","N/A","6B","30","0","4.83"
"RACORD MAN- 02","N/A","6B","35","0","5.63"
"RACORD MAN- 03","N/A","6B","16","0","6.09"
"RACORD MAN- 04","N/A","6B","40","0","6.86"
"RACORD MAN- 05","N/A","6B","37","0","8.03"
"RACORD MAN- 06","N/A","6B","0","0","0"
"RACORD MAN- 07","N/A","6B","20","0","8.48"
"RACORD MAN- 08","N/A","6B","20","0","8.15"
"ENTREROSCA- 01","N/A","6B","100","0","2.83"
"ENTREROSCA- 02","N/A","6B","6","0","11.45"
"ENTREROSCA- 03","N/A","6B","1","0","2.15"
"ENTREROSCA- 04","N/A","6B","1","0","2.54"
"ENTREROSCA - 05","N/A","6B","5","0","3.71"
"ENTREROSCA - 06","N/A","6B","7","0","5.14"
"ENTREROSCA - 07","N/A","6B","0","0","9.43"
"TERM REU- 01","N/A","6B","2","0","8.2"
"TERM REU- 02","N/A","6B","8","0","8.39"
"TERM REU- 03","N/A","6B","5","0","11.53"
"TERM REU- 04","N/A","6B","4","0","11.37"
"TERM REU- 05","N/A","6B","4","0","8.37"
"TERM REU- 06","N/A","6B","3","0","8.56"
"TERM REU- 07","N/A","6B","8","0","10.39"
"TERM REU- 08","N/A","6B","8","0","10"
"TERM REU- 09","N/A","6B","2","0","9.74"
"TERM REU- 10","N/A","6B","5","0","9.86"
"TERM REU- 11","N/A","6B","4","0","8.75"
"TERM REU- 12","N/A","6B","6","0","10.5"
"TERM REU- 13","N/A","6B","4","0","36.62"
"TERM REU- 14","N/A","6B","3","0","38.01"
"TERM REU- 15","N/A","6B","8","0","39.3"
"TERM REU- 16","N/A","6B","4","0","39.46"
"TERM REU- 17","N/A","6B","8","0","35.05"
"TERM REU- 18","N/A","6B","4","0","23.52"
"CODO P/ MAN-01","N/A","6B","3","0","20.6"
"CODO P/ MAN-02","N/A","6B","2","0","26.81"
"CODO P/ MAN-03","N/A","6B","4","0","18.75"
"4G-4MBSPP 7100-15515","N/A","6B","2","0","10.02"
"4G-4FBSPORX 7100-95915","N/A","6B","0","0","2.81"
"4G-4FBSPORX45 7100-95935","N/A","6B","1","0","7.98"
"4G-4FBSPORX90 7100-95955","N/A","6B","7","0","6.98"
"6G-MBSPP 7100-15525","N/A","6B","2","0","10.48"
"6G-6FBSPORX 7100-96295","N/A","6B","41","0","3.98"
"6G-6FBSPORX90 7100-96335","N/A","6B","2","0","7.72"
"8G-MBSPP 7100-05545","N/A","6B","0","0","10.72"
"8G-8FBSPORX 7100-96535","N/A","6B","69","0","5.06"
"8G-8FBSPORX45 7100-96565","N/A","6B","6","0","11.74"
"12GS-12MBSPP 7347-92205","N/A","6B","7","0","13.5"
"12GS-12FBSPORX 7347-93995","N/A","6B","28","0","8.98"
"12GS-16FBSPORX 7347-92585","N/A","6B","4","0","54.57"
"12GS-12FBSPORX45 7347-94005","N/A","6B","13","0","24.55"
"12GS1F-4 7347-03135","N/A","6B","41","0","7.66"
"16GS-16MBSPP 7347-90825","N/A","6B","3","0","30.13"
"16GS-16FBSPORX 7347-90815","N/A","6B","70","0","15.39"
"16GS-16FBSPORX45M 7347-92275","N/A","6B","6","0","48.28"
"16GS1F-4 7347-03135","N/A","6B","6","0","13.4"
"JIC 001","N/A","6B","51","0","2.95"
"JIC 002","N/A","6B","64","0","4.4"
"JIC 003","N/A","6B","57","0","5.2"
"JIC 004","N/A","6B","57","0","9.75"
"JIC 005","N/A","6B","50","0","15.85"
"JIC 006","N/A","6B","0","0","0"
"JIC 007","N/A","6B","11","0","0"
"JIC 008","N/A","6B","0","0","0"
"JIC 009","N/A","6B","7","0","0"
"JIC 010","N/A","6B","0","0","0"
"MAN-05","ONCOR","6B","20","0","98.88"
"MAN-06","SEF","6B","0","0","0"
"MAN-07","SEF","6B","0","0","0"
"MAN-08","SEF","6B","0","0","0"
"MAN-09","SEF","6B","0","0","0"
"SC-320","N/A","7A","4","0","0"
"SC-321","N/A","7A","1","0","0"
"SC-322","N/A","7A","10","0","0"
"SC-323","N/A","7A","2","0","0"
"SC-324","N/A","7A","1","0","0"
"SC-325","N/A","7A","1","0","0"
"SC-326","N/A","7A","1","0","0"
"SC-327","N/A","7A","5","0","0"
"SC-328","N/A","7A","0","0","0"
"SC-329","N/A","7A","4","0","0"
"SC-330","N/A","7A","1","0","0"
"SC-331","N/A","7A","3","0","0"
"SC-332","N/A","7A","1","0","0"
"SC-333","N/A","7A","2","0","0"
"SC-334","N/A","7A","3","0","0"
"SC-335","N/A","7A","1","0","0"
"SC-336","N/A","7A","1","0","0"
"SC-337","N/A","7A","4","0","0"
"SC-338","N/A","7A","4","0","0"
"SC-339","N/A","7A","3","0","0"
"SC-340","N/A","7A","1","0","0"
"SC-341","N/A","7A","2","0","0"
"SC-342","N/A","7B","2","0","0"
"SC-343","N/A","7B","2","0","0"
"SC-344","N/A","7B","6","0","0"
"SC-345","N/A","7B","6","0","0"
"SC-346","N/A","7B","12","0","0"
"SC-347","N/A","7B","4","0","0"
"SC-348","N/A","7B","2","0","0"
"SC-349","N/A","7B","1","0","0"
"SC-350","N/A","7B","2","0","0"
"BARRACAM","N/A","7B","11","0","0"
"SC-351","N/A","7B","4","0","0"
"SC-352","N/A","7B","4","0","0"
"SC-353","N/A","7B","3","0","0"
"SC-354","N/A","7B","8","0","0"
"SC-355","N/A","7B","1","0","0"
"SC-356","N/A","7B","10","0","0"
"SC-357","N/A","7B","2","0","0"
"SC-358","N/A","7B","1","0","0"
"SC-359","N/A","7B","2","0","0"
"SC-360","N/A","7B","4","0","0"
"SC-361","N/A","7B","1","0","0"
"SC-362","N/A","7B","20","0","0"
"SC-363","N/A","7B","2","0","0"
"SC-364","N/A","7B","1","0","0"
"SC-365","N/A","7B","10","0","0"
"SC-366","N/A","7B","14","0","0"
"SC-367","N/A","7B","1","0","0"
"SC-368","N/A","7B","2","0","0"
"SC-369","N/A","7B","2","0","0"
"SC-370","N/A","7B","1","0","0"
"SC-371","N/A","7B","1","0","0"
"SC-372","N/A","7B","1","0","0"
"SC-373","N/A","7B","1","0","0"
"SC-374","N/A","7B","1","0","0"
"SC-375","N/A","7B","1","0","0"
"SC-376","N/A","7B","1","0","0"
"SC-377","N/A","7B","1","0","0"
"SC-378","N/A","7B","2","0","0"
"NEUMAT-01","N/A","7B","3","0","745"
"NEUMAT-02","N/A","7B","0","0","0"
"NEUMAT-03","N/A","7B","0","0","0"
"NEUMAT-04","N/A","7B","0","0","0"
"NEUMAT-05","N/A","7B","0","0","0"
"NEUMAT-06","N/A","7B","0","0","0"
"NEUMAT-07","N/A","7B","0","0","0"
"NEUMAT-08","N/A","7B","1","0","241"
"NEUMAT-09","N/A","7B","1","0","241"
"NEUMAT-10","N/A","7B","0","0","0"
"NEUMAT-11","N/A","7B","1","0","312"
"NEUMAT-12","N/A","7B","0","0","0"
"NEUMAT-13","N/A","7B","0","0","163"
"NEUMAT-14","N/A","7B","11","0","745"
"NEUMAT-15","N/A","7B","4","0","316.4"
"275/70 R22.5","OISTOICH","7B","6","0","1163"
"PACE-275-70","OISTOICH","7B","2","0","850"
"NEUMAT-16","N/A","7B","0","0","450.76"
"SC-379","N/A","8A","3","0","0"
"SC-380","N/A","8A","1","0","0"
"SC-381","N/A","8A","5","0","0"
"SC-382","N/A","8A","2","0","0"
"SC-383","N/A","8A","2","0","0"
"SC-384","N/A","8A","3","0","0"
"SC-385","N/A","8A","1","0","0"
"SC-386","N/A","8A","1","0","0"
"SC-387","N/A","8A","2","0","0"
"SC-388","N/A","8A","2","0","0"
"SC-389","N/A","8A","1","0","0"
"SC-390","N/A","8A","1","0","0"
"SC-391","N/A","8A","1","0","0"
"SC-392","N/A","8A","4","0","0"
"SC-393","N/A","8A","5","0","0"
"SC-394","N/A","8B","1","0","0"
"SC-395","N/A","8B","1","0","0"
"SC-396","N/A","8B","2","0","0"
"SC-397","N/A","8B","2","0","0"
"SC-398","N/A","8B","1","0","0"
"SC-399","N/A","8B","1","0","0"
"SC-400","N/A","8B","1","0","0"
"SC-401","N/A","8B","7","0","0"
"SC-402","N/A","8B","6","0","0"
"SC-403","N/A","8B","2","0","0"
"SC-404","N/A","8B","2","0","0"
"SC-405","N/A","8B","1","0","0"
"SC-406","N/A","8B","2","0","0"
"SC-407","N/A","8B","3","0","0"
"SC-408","N/A","8B","6","0","0"
"SC-409","N/A","8B","4","0","0"
"SC-410","N/A","8B","1","0","0"
"SC-411","N/A","8B","31","0","0"
"SC-412","N/A","8B","10","0","0"
"SC-413","N/A","8B","3","0","0"
"SC-414","N/A","8B","1","0","0"
"SC-415","N/A","8B","1","0","0"
"SC-416","N/A","8B","2","0","0"
"SC-417","N/A","8B","1","0","0"
"SC-418","N/A","8B","3","0","0"
"SC-419","N/A","8B","4","0","0"
"SC-420","N/A","8B","7","0","0"
"SC-421","N/A","8B","1","0","0"
"SC-422","N/A","8B","1","0","0"
"SC-423","N/A","8B","1","0","0"
"SC-424","N/A","8B","1","0","0"
"MAN-10","N/A","8B","6","0","0"
"SC-425","N/A","8B","1","0","0"
"SC-426","N/A","8B","2","0","0"
"SC-427","N/A","8B","3","0","0"
"SC-428","N/A","8B","1","0","0"
"SC-429","N/A","8B","2","0","0"
"SC-430","N/A","8B","2","0","0"
"SC-431","N/A","8B","1","0","0"
"SC-432","N/A","8B","2","0","0"
"SC-433","N/A","8B","1","0","0"
"SC-434","N/A","8B","4","0","0"
"SC-435","N/A","8B","1","0","0"
"SC-436","N/A","8B","1","0","0"
"SC-437","N/A","8B","1","0","0"
"SC-438","N/A","8B","2","0","0"
"SC-439","N/A","8B","1","0","0"
"SC-440","N/A","8B","1","0","0"
"SC-441","N/A","8B","2","0","0"
"SC-442","N/A","LUBRICANTES","0","0","0"
"SC-443","N/A","LUBRICANTES","1","0","0"
"SC-444","N/A","LUBRICANTES","1","0","0"
"SC-445","N/A","LUBRICANTES","1","0","0"
"SC-446","N/A","LUBRICANTES","1","0","0"
"SC-447","N/A","LUBRICANTES","8","0","0"
"SC-448","N/A","LUBRICANTES","1","0","0"
"SC-449","N/A","LUBRICANTES","0","0","0"
"SC-450","N/A","LUBRICANTES","1","0","0"
"SC-451","N/A","LUBRICANTES","1","0","0"
"SC-452","N/A","LUBRICANTES","1","0","0"
"SC-453","N/A","LUBRICANTES","1","0","0"
"SC-454","N/A","LUBRICANTES","1","0","0"
"SC-455","N/A","LUBRICANTES","-24","0","0"
"SC-456","N/A","LUBRICANTES","3","0","0"
"SC-457","N/A","LUBRICANTES","-19","0","0"
"SC-458","N/A","LUBRICANTES","174","0","0"
"SC-459","N/A","LUBRICANTES","4","0","0"
"ACEITE-01","MANA","LUBRICANTES","0","0","0"
"ACEITE-02","MANA","LUBRICANTES","269","0","1.45"
"ACEITE-03","MANA","LUBRICANTES","129","0","16.3"
"S2V46","MANA","LUBRICANTES","10","0","3.61"
"ACEITE-05","N/A","LUBRICANTES","0","0","0"
"ACEITE-06","N/A","LUBRICANTES","0","0","0"
"ACEITE-07","N/A","LUBRICANTES","0","0","0"
"ACEITE-08","N/A","LUBRICANTES","70","0","2.3"
"ACEITE-09","N/A","LUBRICANTES","0","0","0"
"ACEITE-10","N/A","LUBRICANTES","8","0","0"
"ACEITE-11","N/A","LUBRICANTES","120","0","10.03"
"10W-40","MANA","LUBRICANTES","282","0","4.03"
"ACEITE-13","N/A","LUBRICANTES","0","0","3.69"
"ACEITE-14","N/A","LUBRICANTES","0","0","0"
"ACEITE-15","N/A","LUBRICANTES","189","0","0"
"ACEITE-16","N/A","LUBRICANTES","0","0","3.05"
"ACEITE-17","N/A","LUBRICANTES","80","0","0.85"
"ACEITE-18","N/A","LUBRICANTES","0","0","4.77"
