cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
SC-01,N/A,1A,6,0,458.94
SC-02,N/A,1A,6,0,0
3926704,N/A,1A,0,0,7
R-F4000-06,N/A,1A,1,0,0
R-F4000-07,N/A,1A,0,0,0
R-F4000-08,N/A,1A,1,0,56
R-TOYOTA5L-04,N/A,1A,0,0,7.15
R-TOYOTA5L-05,N/A,1A,0,0,7.75
R-TOYOTA5L-06,N/A,1A,1,0,12.25
R-TOYOTA5L-07,N/A,1A,1,0,181
R-TOYOTA5L-08,N/A,1A,4,0,168
R-TOYOTA5L-09,N/A,1A,0,0,0
R-TOYOTA5L-10,N/A,1A,1,0,0
R-TOYOTA5L-11,N/A,1A,1,0,0
R-TOYOTAIMV06,N/A,1A,0,0,0
R-TOYOTAIMV07,N/A,1A,0,0,0
R-TOYOTAIMV08,N/A,1A,0,0,0
R-TOYOTAIMV09,N/A,1A,0,0,0
R-TOYOTAIMV10,N/A,1A,0,0,82
R-TOYOTAIMV11,N/A,1A,0,0,2.6
R-TOYOTAIMV12,N/A,1A,1,0,0
R-TOYOTAIMV13,N/A,1A,2,0,172
R-TOYOTAIMV14,N/A,1A,10,0,6.95
R-TOYOTAIMV15,N/A,1A,1,0,2.2
R-TOYOTAIMV16,N/A,1A,1,0,5.19
R-TOYOTAIMV17,N/A,1A,6,0,5.19
R-TOYOTAIMV18,N/A,1A,1,0,281.79
R-TOYOTAIMV19,N/A,1A,5,0,216
R-TOYOTAIMV20,N/A,1A,5,0,30
R-TOYOTAIMV21,N/A,1A,0,0,0
R-TOYOTAIMV22,N/A,1A,0,0,98
R-TOYOTAIMV23,N/A,1A,1,0,86.14
R-CARRETON1,N/A,1A,0,0,2.9
R-FIATCARGO8,N/A,1A,1,0,133.39
R-FIATCARGO9,N/A,1A,1,0,37.5
R-STRALIS,N/A,1A,2,0,196.53
025105-010380,FRD,1A,0,0,203.67
025106-06012,FRD,1A,38,0,810.96
025205-010290E,FRD,1A,2,0,1253.34
025508-03010,FRD,1A,0,0,548
040113-01014,FRD,1A,1,0,484.06
040113-03012,FRD,1A,0,0,26.11
040123-010410,FRD,1A,1,0,275.66
040123-010420,FRD,1A,0,0,1399
040203-02015,FRD,1A,7,0,599.03
040203-02018,FRD,1A,0,0,981.89
040212-030210,FRD,1A,0,0,62.51
040300-02013,FRD,1A,1,0,105.6
040300-02015,FRD,1A,1,0,193.98
040603-010170,FRD,1A,4,0,201.04
040604-01018,FRD,1A,0,0,47.56
040604-01020,FRD,1A,1,0,109.5
080102-05005,FRD,1A,2,0,1070.21
080102-05007,FRD,1A,1,0,267.98
080900-05007,FRD,1A,1,0,178
083002-02013,FRD,1A,4,0,1290
083002-02015,FRD,1A,3,0,1269
083002-04009,FRD,1A,4,0,282.02
083203-010380,FRD,1A,2,0,585
083203-03019,FRD,1A,0,0,600
083204-02027,FRD,1A,11,0,1200
150021-81170,FRD,1A,4,0,219.8
923105-02002,FRD,1A,1,0,586.02
925105-06012,FRD,1A,2,0,202.83
940404-01011,FRD,1A,3,0,2405.1
940404-010131,FRD,1A,0,0,87.91
980204-05014,FRD,1A,1,0,19.46
980204-09011,FRD,1A,1,0,8.25
917302-030240,FRD,1A,0,0,21.18
022001-03007,FRD,1A,2,0,4202.4
264020-00090,FRD,1A,3,0,4202.4
085620-70606,FRD,1A,2,0,309
3222-3182-49,FRD,1A,1,0,151.2
3222-3155-55,FRD,1A,1,0,338.68
088504-02011,FRD,1A,1,0,126.88
088502-05015,FRD,1A,0,0,132
083204-030310,FRD,1A,3,0,86.31
083204-030320,FRD,1A,3,0,105.55
083204-03018,FRD,1A,4,0,105.55
083204-030280,FRD,1A,3,0,782.62
040504-01015,FRD,1A,1,0,124.08
040504-01016,FRD,1A,1,0,146.88
083204-03023,FRD,1A,4,0,25.65
032614-03014,FRD,1A,14,0,0
032614-03013,FRD,1A,16,0,0
081600-03010,FRD,1A,2,0,390.88
040113-08019,FRD,1A,2,0,390.88
040113-08020,FRD,1A,1,0,0
040603-01025,FRD,1A,8,0,123.87
040603-01026,FRD,1A,8,0,118.65
040603-01028,FRD,1A,1,0,142.32
024109-03021,FRD,1A,3,0,1070.21
040202-03004,FRD,1A,-17,0,267.98
025208-01055,FRD,1A,0,0,887.62
083002-02013,FRD,1A,4,0,915
083002-02015,FRD,1A,3,0,305
081300-05032,FRD,1A,1,0,0
088503-030230,FRD,1A,2,0,42.1
040504-08018,FRD,1A,8,0,0
940400-03001,FRD,1A,1,0,1630.4
040504-08021,FRD,1A,4,0,0
FRD P4P5,FRD,1A,0,0,0.57
940213-01011,FRD,1A,-1,0,0
081300-05012,FRD,1A,0,0,74.52
120142-16000,FRD,1A,8,0,167.55
170312-00000,FRD,1A,8,0,49.21
081900-02040,FRD,1A,3,0,89.2
083204-02026,FRD,1A,2,0,14.79
025105-06016,FRD,1A,9,0,33.06
083002-03018,FRD,1A,4,0,0
040203-02015,FRD,1A,7,0,144.71
040203-02016,FRD,1A,3,0,10468.76
040203-02017,FRD,1A,2,0,234.52
081900-02041,FRD,1A,1,0,99.08
