cliente,descripcion,fecha_ingreso,fecha_garantia,marca,codigo,sector,grupo,criticidad,estado,fecha_ultimalectura,ultima_lectura,descrip_tecnica,area,proceso,numero_serie,meta disponibilidad,procesado,fec_proceso,unidad_industrial
JOSEMARIA,CAMION COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,FORD,DMCAMCAD098OB,JM,CAMION COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,F4000,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,AD098OB,,,,A Confirmar
JOSEMARIA,CAMION COMBUSTIBLE,01-09-2023 00:00,01-09-2023 00:00,MERCEDEZ BENZ,DMCAMCAE450BP,JM,CAMION COMBUSTIBLE,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,AXOR3131,ALTA MONTAÑA,SERVICIO DE TRANSPORTE Y DISTRIBUCIÓN DE COMBUSTIBLE,AE450BP,,,,A Confirmar
JOSEMARIA,CAMION REGADOR,01-09-2023 00:00,01-09-2023 00:00,SCANIA,DMCAMRPMZ240,JM,CAMION REGADOR,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"G420,",ALTA MONTAÑA,SERVICIOS VIALES,PMZ240,,,,A Confirmar
JOSEMARIA,CAMION TRACTOR,01-09-2023 00:00,01-09-2023 00:00,SCANIA,DMCATAE823BH,JM,CAMION TRACTOR,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,XT G410,ALTA MONTAÑA,SERVICIOS VIALES,AE823BH,,,,A Confirmar
JOSEMARIA,CAMION HIDROGRUA,01-09-2023 00:00,01-09-2023 00:00,VOLVO,DMCAMHIAE015PW,JM,CAMION HIDROGRUA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,FMX460,ALTA MONTAÑA,SERVICIO DE HIDROGRÚA,AE015PW,,,,A Confirmar
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAE209FO,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AE209FO,,,,A Confirmar
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAE418HL,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AE418HL,,,,A Confirmar
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF564GJ,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,"Hilux 2,8",ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF564GJ,,,,A Confirmar
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF919OR,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Hilux 2.4,ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF919OR,,,,A Confirmar
JOSEMARIA,CAMIONETA,01-09-2023 00:00,01-09-2023 00:00,TOYOTA,DMCTAAF860LJ,JM,CAMIONETA,A CONFIRMAR,AC,01-09-2023 00:00,01/01/2023,Hilux 2.8,ALTA MONTAÑA,SERVICIO DE CAMIONETAS,AF860LJ,,,,A Confirmar
