id,Etapa,U. Medida,Código,Descripción
,Finca,Unidad,MP001,Plantín Aloreña Verde
,Finca,Unidad,MP002,Plantín Manzanilla Verde
,Finca,Unidad,MP003,Plantín Picual Verde
,Finca,Unidad,MP004,Plantín Hijiblanca Verde
,Finca,Unidad,MP005,Plantín Aloreña Negra
,Finca,Unidad,MP006,Plantín Manzanilla Negra
,Finca,Unidad,MP007,Plantín Picual Negra
,Finca,Unidad,MP008,Plantín Hijiblanca Negra
,Finca,M2,PP001,Aceituna Aloreña Verde
,Finca,M2,PP002,Aceituna Manzanilla Verde
,Finca,M2,PP003,Aceituna Picual Verde
,Finca,M2,PP004,Aceituna Hijiblanca Verde
,Finca,M2,PP005,Aceituna Aloreña Negra
,Finca,M2,PP006,Aceituna Manzanilla Negra
,Finca,M2,PP007,Aceituna Picual Negra
,Finca,M2,PP008,Aceituna Hijiblanca Negra
,Finca,Bins ,PF001,Aceituna Aloreña Verde CALIDAD 1
,Finca,Bins ,PF002,Aceituna Aloreña Verde CALIDAD 2
,Finca,Bins ,PF003,Aceituna Aloreña Verde CALIDAD 3
,Finca,Bins ,PF004,Aceituna Manzanilla Verde CALIDAD 1
,Finca,Bins ,PF005,Aceituna Manzanilla Verde CALIDAD 2
,Finca,Bins ,PF006,Aceituna Manzanilla Verde CALIDAD 3
,Finca,Bins ,PF007,Aceituna Picual Verde CALIDAD 1
,Finca,Bins ,PF008,Aceituna Picual Verde CALIDAD 2
,Finca,Bins ,PF009,Aceituna Picual Verde CALIDAD 3
,Finca,Bins ,PF010,Aceituna Hijiblanca Verde CALIDAD 1
,Finca,Bins ,PF011,Aceituna Hijiblanca Verde CALIDAD 2
,Finca,Bins ,PF012,Aceituna Hijiblanca Verde CALIDAD 3
,Finca,Bins ,PF013,Aceituna Aloreña Negra CALIDAD 1
,Finca,Bins ,PF014,Aceituna Aloreña Negra CALIDAD 2
,Finca,Bins ,PF015,Aceituna Aloreña Negra CALIDAD 3
,Finca,Bins ,PF016,Aceituna Manzanilla Negra CALIDAD 1
,Finca,Bins ,PF017,Aceituna Manzanilla Negra CALIDAD 2
,Finca,Bins ,PF018,Aceituna Manzanilla Negra CALIDAD 3
,Finca,Bins ,PF019,Aceituna Picual Negra CALIDAD 1
,Finca,Bins ,PF020,Aceituna Picual Negra CALIDAD 2
,Finca,Bins ,PF021,Aceituna Picual Negra CALIDAD 3
,Finca,Bins ,PF022,Aceituna Hijiblanca Negra CALIDAD 1
,Finca,Bins ,PF023,Aceituna Hijiblanca Negra CALIDAD 2
,Finca,Bins ,PF024,Aceituna Hijiblanca Negra CALIDAD 3
,Fermentación,Kg,PP009,Aceituna Fermentada Aloreña Verde CALIDAD 1 
,Fermentación,Kg,PP010,Aceituna Fermentada Aloreña Verde CALIDAD 2
,Fermentación,Kg,PP011,Aceituna Fermentada Aloreña Verde CALIDAD 3
,Fermentación,Kg,PP012,Aceituna Fermentada Manzanilla Verde CALIDAD 1
,Fermentación,Kg,PP013,Aceituna Fermentada Manzanilla Verde CALIDAD 2
,Fermentación,Kg,PP014,Aceituna Fermentada Manzanilla Verde CALIDAD 3
,Fermentación,Kg,PP015,Aceituna Fermentada Picual Verde CALIDAD 1
,Fermentación,Kg,PP016,Aceituna Fermentada Picual Verde CALIDAD 2
,Fermentación,Kg,PP017,Aceituna Fermentada Picual Verde CALIDAD 3
,Fermentación,Kg,PP018,Aceituna Fermentada Hijiblanca Verde CALIDAD 1
,Fermentación,Kg,PP019,Aceituna Fermentada Hijiblanca Verde CALIDAD 2
,Fermentación,Kg,PP020,Aceituna Fermentada Hijiblanca Verde CALIDAD 3
,Fermentación,Kg,PP021,Aceituna Fermentada Aloreña Negra CALIDAD 1
,Fermentación,Kg,PP022,Aceituna Fermentada Aloreña Negra CALIDAD 2
,Fermentación,Kg,PP023,Aceituna Fermentada Aloreña Negra CALIDAD 3
,Fermentación,Kg,PP024,Aceituna Fermentada Manzanilla Negra CALIDAD 1
,Fermentación,Kg,PP025,Aceituna Fermentada Manzanilla Negra CALIDAD 2
,Fermentación,Kg,PP026,Aceituna Fermentada Manzanilla Negra CALIDAD 3
,Fermentación,Kg,PP027,Aceituna Fermentada Picual Negra CALIDAD 1
,Fermentación,Kg,PP028,Aceituna Fermentada Picual Negra CALIDAD 2
,Fermentación,Kg,PP029,Aceituna Fermentada Picual Negra CALIDAD 3
,Fermentación,Kg,PP030,Aceituna Fermentada Hijiblanca Negra CALIDAD 1
,Fermentación,Kg,PP031,Aceituna Fermentada Hijiblanca Negra CALIDAD 2
,Fermentación,Kg,PP032,Aceituna Fermentada Hijiblanca Negra CALIDAD 3
,Selección,Kg,PF025,Aceituna Seleccionada Aloreña Verde CALIDAD 1
,Selección,Kg,PF026,Aceituna Seleccionada Aloreña Verde CALIDAD 2
,Selección,Kg,PF027,Aceituna Seleccionada Aloreña Verde CALIDAD 3
,Selección,Kg,PF028,Aceituna Seleccionada Manzanilla Verde CALIDAD 1
,Selección,Kg,PF029,Aceituna Seleccionada Manzanilla Verde CALIDAD 2
,Selección,Kg,PF030,Aceituna Seleccionada Manzanilla Verde CALIDAD 3
,Selección,Kg,PF031,
,Selección,Kg,PF032,
,Selección,Kg,PF033,
,Selección,Kg,PF034,
,Selección,Kg,PF035,
,Selección,Kg,PF036,
,Selección,Kg,PF037,
,Selección,Kg,PF038,
,Selección,Kg,PF039,
,Selección,Kg,PF040,
,Selección,Kg,PF041,
,Selección,Kg,PF042,
,Selección,Kg,PF043,
,Selección,Kg,PF044,
,Selección,Kg,PF045,
,Selección,Kg,PF046,
,Selección,Kg,PF047,
,Selección,Kg,PF048,
,Selección,Kg,PP033,Aceituna 2º entamada Aloreña Verde CALIDAD 1
,Selección,Kg,PP034,Aceituna 3º entamada Aloreña Verde CALIDAD 1
,Selección,Kg,PP035,
,Selección,Kg,PP036,
,Selección,Kg,PP037,
,Selección,Kg,PP038,
,Selección,Kg,PP039,
,Selección,Kg,PP040,
,Selección,Kg,PP041,
,Selección,Kg,PP042,
,Selección,Kg,PP043,
,Selección,Kg,PP044,
,Selección,Kg,PP045,
,Selección,Kg,PP046,
,Selección,Kg,PP047,
,Selección,Kg,PP048,
,Selección,Kg,PP049,
,Selección,Kg,PP050,
,Selección,Kg,PP051,
,Selección,Kg,PP052,
,Selección,Kg,PP053,
,Selección,Kg,PP054,
,Selección,Kg,PP055,
,Selección,Kg,PP056,
,Selección,Kg,PP057,
,Selección,Kg,PP058,
,Selección,Kg,PP059,
,Selección,Kg,PP060,
,Selección,Kg,PP061,
,Selección,Kg,PP062,
,Selección,Kg,PP063,
,Selección,Kg,PP064,
,Selección,Kg,PP065,
,Selección,Kg,PP066,
,Selección,Kg,PP067,
,Selección,Kg,PP068,
,Selección,Kg,PP069,
,Selección,Kg,PP070,
,Selección,Kg,PP071,
,Selección,Kg,PP072,
,Selección,Kg,PP073,
,Selección,Kg,PP074,
,Selección,Kg,PP075,
,Selección,Kg,PP076,
,Selección,Kg,PP077,
,Selección,Kg,PP078,
,Selección,Kg,PP079,
,Selección,Kg,PP080,
,Selección,Kg,PP081,
,Selección,Kg,SC001,SCRAP
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Tamañado,Kg,PF048,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 80-120
,Tamañado,Kg,PF049,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 120-160
,Tamañado,Kg,PF050,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 160-200
,Tamañado,Kg,PF051,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 200-240
,Tamañado,Kg,PF052,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 240-280
,Tamañado,Kg,PF053,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 280-320
,Tamañado,Kg,PF054,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 320-360
,Tamañado,Kg,PF055,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 360-400
,Tamañado,Kg,PF056,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 400-450
,Tamañado,Kg,PF057,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 450-500
,Tamañado,Kg,PF058,Aceituna Aloreña Verde CALIDAD 1 - CALIBRE 500-600
,Tamañado,Kg,PF059,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 80-120
,Tamañado,Kg,PF060,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 120-160
,Tamañado,Kg,PF061,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 160-200
,Tamañado,Kg,PF062,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 200-240
,Tamañado,Kg,PF063,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 240-280
,Tamañado,Kg,PF064,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 280-320
,Tamañado,Kg,PF065,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 320-360
,Tamañado,Kg,PF066,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 360-400
,Tamañado,Kg,PF067,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 400-450
,Tamañado,Kg,PF068,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 450-500
,Tamañado,Kg,PF069,Aceituna Aloreña Verde CALIDAD 2 - CALIBRE 500-600
,Tamañado,Kg,PF070,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 80-120
,Tamañado,Kg,PF071,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 120-160
,Tamañado,Kg,PF072,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 160-200
,Tamañado,Kg,PF073,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 200-240
,Tamañado,Kg,PF074,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 240-280
,Tamañado,Kg,PF075,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 280-320
,Tamañado,Kg,PF076,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 320-360
,Tamañado,Kg,PF077,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 360-400
,Tamañado,Kg,PF078,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 400-450
,Tamañado,Kg,PF079,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 450-500
,Tamañado,Kg,PF080,Aceituna Aloreña Verde CALIDAD 3 - CALIBRE 500-600
,Tamañado,Kg,PF081,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 80-120
,Tamañado,Kg,PF082,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 120-160
,Tamañado,Kg,PF083,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 160-200
,Tamañado,Kg,PF084,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 200-240
,Tamañado,Kg,PF085,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 240-280
,Tamañado,Kg,PF086,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 280-320
,Tamañado,Kg,PF087,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 320-360
,Tamañado,Kg,PF088,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 360-400
,Tamañado,Kg,PF089,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 400-450
,Tamañado,Kg,PF090,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 450-500
,Tamañado,Kg,PF091,Aceituna Manzanilla Verde CALIDAD 1 - CALIBRE 500-600
,Tamañado,Kg,PF092,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 80-120
,Tamañado,Kg,PF093,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 120-160
,Tamañado,Kg,PF094,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 160-200
,Tamañado,Kg,PF095,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 200-240
,Tamañado,Kg,PF096,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 240-280
,Tamañado,Kg,PF097,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 280-320
,Tamañado,Kg,PF098,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 320-360
,Tamañado,Kg,PF099,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 360-400
,Tamañado,Kg,PF100,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 400-450
,Tamañado,Kg,PF101,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 450-500
,Tamañado,Kg,PF102,Aceituna Manzanilla Verde CALIDAD 2 - CALIBRE 500-600
,Tamañado,Kg,PF103,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 80-120
,Tamañado,Kg,PF104,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 120-160
,Tamañado,Kg,PF105,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 160-200
,Tamañado,Kg,PF106,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 200-240
,Tamañado,Kg,PF107,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 240-280
,Tamañado,Kg,PF108,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 280-320
,Tamañado,Kg,PF109,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 320-360
,Tamañado,Kg,PF110,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 360-400
,Tamañado,Kg,PF111,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 400-450
,Tamañado,Kg,PF112,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 450-500
,Tamañado,Kg,PF113,Aceituna Manzanilla Verde CALIDAD 3 - CALIBRE 500-600
,Tamañado,Kg,PF114,Aceituna Picual Verde CALIDAD 1 - CALIBRE 80-120
,Tamañado,Kg,PF115,Aceituna Picual Verde CALIDAD 1 - CALIBRE 120-160
,Tamañado,Kg,PF116,Aceituna Picual Verde CALIDAD 1 - CALIBRE 160-200
,Tamañado,Kg,PF117,Aceituna Picual Verde CALIDAD 1 - CALIBRE 200-240
,Tamañado,Kg,PF118,Aceituna Picual Verde CALIDAD 1 - CALIBRE 240-280
,Tamañado,Kg,PF119,Aceituna Picual Verde CALIDAD 1 - CALIBRE 280-320
,Tamañado,Kg,PF120,Aceituna Picual Verde CALIDAD 1 - CALIBRE 320-360
,Tamañado,Kg,PF121,Aceituna Picual Verde CALIDAD 1 - CALIBRE 360-400
,Tamañado,Kg,PF122,Aceituna Picual Verde CALIDAD 1 - CALIBRE 400-450
,Tamañado,Kg,PF123,Aceituna Picual Verde CALIDAD 1 - CALIBRE 450-500
,Tamañado,Kg,PF124,Aceituna Picual Verde CALIDAD 1 - CALIBRE 500-600
,Tamañado,Kg,PF125,Aceituna Picual Verde CALIDAD 2 - CALIBRE 80-120
,Tamañado,Kg,PF126,Aceituna Picual Verde CALIDAD 2 - CALIBRE 120-160
,Tamañado,Kg,PF127,Aceituna Picual Verde CALIDAD 2 - CALIBRE 160-200
,Tamañado,Kg,PF128,Aceituna Picual Verde CALIDAD 2 - CALIBRE 200-240
,Tamañado,Kg,PF129,Aceituna Picual Verde CALIDAD 2 - CALIBRE 240-280
,Tamañado,Kg,PF130,Aceituna Picual Verde CALIDAD 2 - CALIBRE 280-320
,Tamañado,Kg,PF131,Aceituna Picual Verde CALIDAD 2 - CALIBRE 320-360
,Tamañado,Kg,PF132,Aceituna Picual Verde CALIDAD 2 - CALIBRE 360-400
,Tamañado,Kg,PF133,Aceituna Picual Verde CALIDAD 2 - CALIBRE 400-450
,Tamañado,Kg,PF134,Aceituna Picual Verde CALIDAD 2 - CALIBRE 450-500
,Tamañado,Kg,PF135,Aceituna Picual Verde CALIDAD 2 - CALIBRE 500-600
,Tamañado,Kg,PF136,Aceituna Picual Verde CALIDAD 3 - CALIBRE 80-120
