CÓDIGO,UNIDAD DE MEDIDA,CANTIDAD,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
400405-00092,UNIDAD,0,"Filter, oil engine",ADT
400508-00063,UNIDAD,0,"Fuel, pre filter",ADT
MX511951,UNIDAD,10,"Air filter element, Main",ADT
400409-00006,UNIDAD,2,"Filter, Transmission",ADT
MX528792,UNIDAD,10,"Filter, Hvac",ADT
MX528793,UNIDAD,10,"Filter, aircon (hvac)",ADT
400504-00119,UNIDAD,0,"Fuel, filter",ADT
MX511952,UNIDAD,0,"Air filter element, Inner",ADT
MX529050,UNIDAD,0,AC Filter; dryer,ADT
1900970/50305598,UNIDAD,0,FILTRO ,ADT
513783,UNIDAD,0,Filtro aceite (refrigeración de frenos),ADT
501333764,UNIDAD,0,Filtro aceite ZF (Transmision),ADT
MX400405-00264,UNIDAD,0,Filtro de motor Doosan (motor),ADT
MX536577,UNIDAD,0,FILTRO RESPIRADERO,ADT
LCB030G,UNIDAD,0,BALIZA DE TECHO VERDE ,ADT
1423904,UNIDAD,0,ADAPTADOR ELECTRICO SCANIA,ADT
SCSN-00472,UNIDAD,2,Element-Fuel,MG
SCSN-00473,UNIDAD,2,Element-Fuel,MG
SCSN-00477,UNIDAD,3,Element-Suction,MG
SCSN-00982,UNIDAD,4,Filter-Transmission,MG
SCSN-01972,UNIDAD,2,Element-Oil Filter,MG
SCSN-03395,UNIDAD,4,Filter-Air,MG
SCSN-00478,UNIDAD,0,Element-Return,MG
SCSN-00569,UNIDAD,0,Filter Assy-Suction,MG
SCSN-02997,UNIDAD,0,Pin-Tooth,MG
SCSN-00240,UNIDAD,0,Cuttingedge Kit,MG
70131053,UNIDAD,0,Filtro Hidraulico,MG
722H.17.1.1.1,UNIDAD,0,Kit Oring,MG
11N6-90770,UNIDAD,0,Filter-Aircon,WL
3101869,UNIDAD,0,Filter-Oil,WL
31E3-0018-A,UNIDAD,2,Filter-Line,WL
71LM-00290,UNIDAD,0,Filter-Aircon,WL
11KB-50140,UNIDAD,0,Filter-Fuel,WL
3100308,UNIDAD,1,Filter-Corrosion Resistor,WL
3329289,UNIDAD,0,Filter-Fuel,WL
XKCN-00039,UNIDAD,4,Filter-Aircon,WL
ZGAQ-02400,UNIDAD,0,Filter-Transmission,WL
11LQ-40110,UNIDAD,4,Element-A/C Outer,WL
11LQ-40120,UNIDAD,0,Element-A/C Inner,WL
31QA-02080,UNIDAD,0,Strainer-Suction,WL
61LB-00920,UNIDAD,0,Cuttingedge Kit,WL
61LK-00950,UNIDAD,0,Tooth Kit,WL
ZGAQ-01521,UNIDAD,0,Filter-Transmission,WL
11LB-20310,UNIDAD,0,Pre-Filtro de combustible,WL
11K6-91440,UNIDAD,0,Filter-Inlet,EX
11K6-91451,UNIDAD,1,Filter-Fresh,EX
11NB-70120,UNIDAD,2,Filter-Oil,EX
15KA-73040,UNIDAD,0,Element-Pre Fuel Filter,EX
15KA-72010,UNIDAD,0,Filter-Fuel,EX
11K6-91560,UNIDAD,0,Filter,EX
31Q6-20340,UNIDAD,6,Filter-Line,EX
31RF-10030,UNIDAD,4,Element-Return,EX y WL
66NB-31310GG,UNIDAD,6,Tooth (Uñas),EX
11Q4-01281,UNIDAD,0,Element-Breather,EX
31EH-00090,UNIDAD,0,Strainer-Breather,EX
31K9-02080,UNIDAD,0,Strainer-Suction,EX
66NB-31340,UNIDAD,0,Pin-Tooth,EX
1540S,LITROS,12958,Shell Rimula R4 15W40,
VG46S,LITROS,5225,Shell Spirax S2 ISO VG46,
UTTO1030S,LITROS,418,Shell Spirax S4 UTTO 10W30,
7590S,LITROS,2508,Shell Spirax S6 AXME 75W90,
ATFS,LITROS,1463,Shell Spirax S4 ATF HDX,
8090S,LITROS,5225,Shell Spirax S2 A 80W90,
NLGI2S,LITROS,1260,Grasa Shell Gadus S2 V220 NLGI (kg.),
REFS,LITROS,602,Refrigerante Coolant Raizen 5,
LIMB,LITROS,0,Limpia Parabrisas c/Antico Bardahl,
DOT3B,LITROS,0,"DOT-3, SAE J1703 Bardahl",
