"cliente","descripcion","fecha_ingreso","fecha_garantia","marca","codigo","sector","grupo","criticidad","estado","fecha_ultimalectura","ultima_lectura","descrip_tecnica","area","proceso","numero_serie","meta disponibilidad","procesado","fec_proceso","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21984","TALLER CP2","ADT-01","ALTA","OPERATIVO","16-06-24","764","CAMION ADT","CP2","ADT","21984","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21985","TALLER CP2","ADT-02","ALTA","OPERATIVO","16-06-24","1104","CAMION ADT","CP2","ADT","21985","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21986","TALLER CP2","ADT-03","ALTA","OPERATIVO","16-06-24","617","CAMION ADT","CP2","ADT","21986","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21987","TALLER CP2","ADT-04","ALTA","OPERATIVO","16-06-24","635","CAMION ADT","CP2","ADT","21987","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21988","TALLER CP2","ADT-05","ALTA","OPERATIVO","16-06-24","624","CAMION ADT","CP2","ADT","21988","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21989","TALLER CP2","ADT-06","ALTA","OPERATIVO","16-06-24","621","CAMION ADT","CP2","ADT","21989","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21990","TALLER CP2","ADT-07","ALTA","OPERATIVO","16-06-24","610","CAMION ADT","CP2","ADT","21990","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21991","TALLER CP2","ADT-08","ALTA","OPERATIVO","16-06-24","643","CAMION ADT","CP2","ADT","21991","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21992","TALLER CP2","ADT-09","ALTA","OPERATIVO","16-06-24","1165","CAMION ADT","CP2","ADT","21992","86","","","","","","","","","","","","","","","",""
"POSCO","CAMION ARTICULADO","1-03-2024","1-03-2025","HYUNDAI","HA45-21993","TALLER CP2","ADT-10","ALTA","OPERATIVO","16-06-24","618","CAMION ADT","CP2","ADT","21993","86","","","","","","","","","","","","","","","",""
"POSCO","CARGADORA FRONTAL","1-03-2024","1-03-2025","HYUNDAI","HL775-9S-172","TALLER CP2","WL-01","MEDIA","NO OPERATIVO","16-06-24","595","CARGADORA","CP2","WL","172","86","","","","","","","","","","","","","","","",""
"POSCO","CARGADORA FRONTAL","1-03-2024","1-03-2025","HYUNDAI","HL775-9S-189","TALLER CP2","WL-02","MEDIA","OPERATIVO","16-06-24","948","CARGADORA","CP2","WL","189","86","","","","","","","","","","","","","","","",""
"POSCO","CARGADORA FRONTAL","1-03-2024","1-03-2025","HYUNDAI","HL775-9S-198","TALLER CP2","WL-03","MEDIA","NO OPERATIVO","16-06-24","920","CARGADORA","CP2","WL","198","86","","","","","","","","","","","","","","","",""
"POSCO","MOTONIVELADORA","1-03-2024","1-03-2025","HYUNDAI","HG170-729","TALLER CP2","MG-01","MEDIA","NO OPERATIVO","16-06-24","269","MOTONIVELADORA","CP2","MG","729","86","","","","","","","","","","","","","","","",""
"POSCO","MOTONIVELADORA","1-03-2024","1-03-2025","HYUNDAI","HG170-730","TALLER CP2","MG-02","MEDIA","NO OPERATIVO","16-06-24","240","MOTONIVELADORA","CP2","MG","730","86","","","","","","","","","","","","","","","",""
"POSCO","MOTONIVELADORA","1-03-2024","1-03-2025","HYUNDAI","HG170-731","TALLER CP2","MG-03","MEDIA","NO OPERATIVO","16-06-24","308","MOTONIVELADORA","CP2","MG","731","86","","","","","","","","","","","","","","","",""
"POSCO","MOTONIVELADORA","1-03-2024","1-03-2025","HYUNDAI","HG170-732","TALLER CP2","MG-04","MEDIA","NO OPERATIVO","16-06-24","157","MOTONIVELADORA","CP2","MG","732","86","","","","","","","","","","","","","","","",""
"POSCO","EXCAVADORA","1-03-2024","1-03-2025","HYUNDAI","HX500LT3-90","TALLER CP2","EX-01","ALTA","OPERATIVO","16-06-24","839","EXCAVADORA","CP2","EX","90","86","","","","","","","","","","","","","","","",""
"POSCO","EXCAVADORA","1-03-2024","1-03-2025","HYUNDAI","HX500LT3-93","TALLER CP2","EX-02","ALTA","OPERATIVO","16-06-24","1043","EXCAVADORA","CP2","EX","93","86","","","","","","","","","","","","","","","",""
"POSCO","EXCAVADORA","1-03-2024","1-03-2025","HYUNDAI","HX500LT3-101","TALLER CP2","EX-03","ALTA","OPERATIVO","16-06-24","943","EXCAVADORA","CP2","EX","101","86","","","","","","","","","","","","","","","",""
"POSCO","EXCAVADORA","1-03-2024","1-03-2025","HYUNDAI","HX500LT3-102","TALLER CP2","EX-04","ALTA","NO OPERATIVO","16-06-24","526","EXCAVADORA","CP2","EX","102","86","","","","","","","","","","","","","","","",""
"POSCO","EXCAVADORA","1-03-2024","1-03-2025","HYUNDAI","HX500LT3-104","TALLER CP2","EX-05","ALTA","OPERATIVO","16-06-24","1052","EXCAVADORA","CP2","EX","104","86","","","","","","","","","","","","","","","",""
"POSCO","EXCAVADORA","1-03-2024","1-03-2025","HYUNDAI","HX500LT3-106","TALLER CP2","EX-06","ALTA","OPERATIVO","16-06-24","1047","EXCAVADORA","CP2","EX","106","86","","","","","","","","","","","","","","","",""
