CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN
0001-0004-640,UN,MIRILLA, COMP.
0001-0005-640,UN,MIRILLA, COMP.
0001-0007-300,UN,MIRILLA, COMP.
0001-0012-280,UN,MIRILLA, COMP.
0001-0021-300,UN,PORTAMIRILLA
0001-0022-400,UN,PORTAMIRILLA
0001-0026-830,UN,MIRILLA DE INSPECCIÓN
0001-0027-830,UN,MIRILLA
0001-0028-800,UN,MIRILLA
0001-0028-830,UN,MIRILLA
0001-0040-820,UN,MIRILLA DE INSPECCIÓN
0001-0041-850,UN,MIRILLA DE INSPECCIÓN
0001-0042-850,UN,MIRILLA DE INSPECCIÓN
0001-0043-820,UN,MIRILLA DE INSPECCIÓN
0001-0046-820,UN,MIRILLA DE INSPECCIÓN
0001-0050-820,UN,MIRILLA DE INSPECCIÓN
0001-0054-820,UN,MIRILLA DE INSPECCIÓN
0001-0055-820,UN,MIRILLA DE INSPECCIÓN
0001-0057-820,UN,MIRILLA DE INSPECCIÓN
0001-0058-800,UN,MIRILLA DE INSPECCIÓN
0001-0060-800,UN,MIRILLA DE INSPECCIÓN
0001-0065-820,UN,MIRILLA DE INSPECCIÓN
0001-0082-890,UN,MIRILLA CILÍNDRICA
0001-0083-890,UN,MIRILLA CILÍNDRICA
0001-0090-820,UN,MIRILLA CILÍNDRICA
0001-0094-820,UN,MIRILLA CILÍNDRICA
0001-0095-820,UN,MIRILLA CILÍNDRICA
0001-0096-820,UN,MIRILLA CILÍNDRICA
0001-0097-820,UN,MIRILLA CILÍNDRICA
0001-0099-820,UN,MIRILLA CILÍNDRICA
0001-0100-820,UN,MIRILLA CILÍNDRICA
0001-0101-820,UN,MIRILLA CILÍNDRICA
0001-0102-820,UN,MIRILLA CILÍNDRICA
0001-0103-820,UN,MIRILLA CILÍNDRICA
0001-0104-820,UN,MIRILLA CILÍNDRICA
0001-0108-820,UN,MIRILLA CILÍNDRICA
0001-0114-820,UN,MIRILLA CILÍNDRICA
0001-0115-820,UN,MIRILLA CILÍNDRICA
0001-0116-820,UN,MIRILLA CILÍNDRICA
0001-0120-820,UN,MIRILLA CILÍNDRICA
0001-0130-820,UN,MIRILLA CILÍNDRICA
0001-0135-000,UN,BRIDA SOLDABLE
0001-0139-000,UN,BRIDA SOLDABLE
0001-0140-000,UN,BRIDA SOLDABLE
0001-0143-000,UN,BRIDA SOLDABLE
0001-0145-000,UN,BRIDA SOLDABLE
0001-0146-000,UN,BRIDA SOLDABLE
0001-0147-000,UN,BRIDA SOLDABLE
0001-0153-000,UN,BRIDA SOLDABLE
0001-0162-030,UN,BRIDA OVAL
0001-0163-000,UN,BRIDA SOLDABLE
0001-0182-030,UN,BRIDA
0001-0188-030,UN,BRIDA
0001-0263-400,UN,TAPA CIEGA
0001-0264-400,UN,TAPA CIEGA
0001-0265-400,UN,TAPA CIEGA
0001-0268-300,UN,TAPA CIEGA
0001-0273-820,UN,MIRILLA DE INSPECCIÓN
0001-0274-500,UN,BRIDA
0001-0277-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0279-400,UN,TRANSDUCTOR DE PRESIÓN
0001-0279-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0282-300,UN,VACUÓMETRO
0001-0288-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0289-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0290-400,UN,MANÓMETRO
0001-0292-400,UN,TRANSDUCTOR DE PRESIÓN
0001-0292-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0293-610,UN,TRANSDUCTOR DE PRESIÓN
0001-0298-610,UN,TRANSDUCTOR DE PRESIÓN
0001-0299-610,UN,TRANSDUCTOR DE PRESIÓN
0001-0300-390,UN,TORNILLO DE LA VÁLVULA
0001-0300-400,UN,MANÓMETRO
0001-0302-610,UN,TRANSDUCTOR DE PRESIÓN
0001-0304-400,UN,TRANSDUCTOR DE PRESIÓN
0001-0304-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0305-300,UN,TRANSDUCTOR DE PRESIÓN
0001-0311-000,UN,VACUÓMETRO
0001-0319-400,UN,TRANSDUCTOR DE PRESIÓN
0001-0326-820,UN,CAPILAR
0001-0327-280,UN,TERMÓMETRO DE MAQUINA
0001-0329-280,UN,TERMÓMETRO DE MAQUINA
0001-0342-010,UN,BRIDA
0001-0343-400,UN,BRIDA DE COLLARÍN PARA SOLDAR
0001-0345-400,UN,BRIDA DE COLLARÍN PARA SOLDAR
0001-0346-010,UN,BRIDA
0001-0348-010,UN,BRIDA
0001-0349-400,UN,BRIDA
0001-0351-400,UN,BRIDA
0001-0352-010,UN,BRIDA
0001-0358-400,UN,BRIDA
0001-0378-400,UN,BRIDA
0001-0379-400,UN,BRIDA
0001-0393-400,UN,BRIDA DE COLLARÍN PARA SOLDAR
0001-0396-400,UN,MIRILLA, COMP.
0001-0400-700,UN,TAPÓN
0001-0400-820,UN,VASO DE VIDRIO
0001-0405-820,UN,TUBO DE MEDICIÓN CON FLOTADOR
0001-0419-000,UN,CAUDALÍMETRO
0001-0424-000,UN,CAUDALÍMETRO
0001-0431-280,UN,BRIDA
0001-0432-280,UN,BRIDA
0001-0433-280,UN,BRIDA
0001-0434-280,UN,BRIDA
0001-0465-400,UN,BRIDA
0001-0467-400,UN,BRIDA
0001-0469-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0502-400,UN,BRIDA
0001-0515-030,UN,BRIDA
0001-0516-030,UN,BRIDA
0001-0516-300,UN,BRIDA
0001-0517-030,UN,BRIDA
0001-0529-600,UN,TRANSDUCTOR DE PRESIÓN
0001-0538-800,UN,MIRILLA
0001-0551-200,UN,PORTAMIRILLA
0001-0561-200,UN,MIRILLA, COMP.
0001-0565-800,UN,TUBO GRADUADO
0001-0582-000,UN,REGULADOR DE TEMPERATURA
0001-0582-010,UN,REGULADOR/CONTROLADOR DE TEMPERATURA
0001-0583-010,UN,REGULADOR/CONTROLADOR DE TEMPERATURA
0001-0583-030,UN,REGULADOR/CONTROLADOR DE TEMPERATURA
0001-0592-000,UN,LIMITADOR DE TEMPERATURA DE SEGURIDAD
0001-0592-010,UN,LIMITADOR DE TEMPERATURA DE SEGURIDAD
0001-0597-400,UN,MANÓMETRO DE CONTACTO
0001-0601-820,UN,MIRILLA DE INSPECCIÓN
0001-0607-300,UN,LINTERNA DE LA MIRILLA
0001-0610-300,UN,LINTERNA DE LA MIRILLA
0001-0611-300,UN,LINTERNA DE LA MIRILLA
0001-0612-370,UN,PIEZA ROSCADA
0001-0612-380,UN,CASQUILLO DE PRESIÓN
0001-0612-410,UN,MIRILLA CILÍNDRICA, COMP.
0001-0613-400,UN,PIEZA ROSCADA
0001-0614-370,UN,PIEZA ROSCADA
0001-0614-380,UN,CASQUILLO DE PRESIÓN
0001-0614-390,UN,CAJA CILÍNDRICA DE LA MIRILLA, SOLD.
0001-0614-400,UN,MIRILLA CILÍNDRICA, COMP.
0001-0617-380,UN,CASQUILLO DE PRESIÓN
0001-0619-300,UN,BRIDA
0001-0629-400,UN,BRIDA
0001-0630-300,UN,BRIDA
0001-0657-850,UN,MIRILLA DE INSPECCIÓN
0001-0658-370,UN,ANILLO
0001-0658-380,UN,CASQUILLO
0001-0658-390,UN,CAJA CILÍNDRICA DE LA MIRILLA, SOLD.
0001-0660-800,UN,VISOR DEL NIVEL DE ACEITE
0001-0679-050,UN,TERMOSTATO
0001-0680-820,UN,TUBO DE CENTRÍFUGA
0001-0682-820,UN,TUBO DE CENTRÍFUGA
0001-0683-820,UN,TUBO DE CENTRÍFUGA
0001-0684-820,UN,TUBO DE CENTRÍFUGA
0001-0685-820,UN,TUBO DE CENTRÍFUGA
0001-0686-400,UN,MIRILLA, COMP.
0001-0686-410,UN,CAJA DE MIRILLA, SOLD.
0001-0687-000,UN,VACUÓMETRO DE CONTACTO
0001-0692-870,UN,MIRILLA DE INSPECCIÓN
0001-0705-820,UN,TUBO DE CENTRÍFUGA
0001-0744-400,UN,TRANSDUCTOR DE PRESIÓN
0001-0755-010,UN,INDICADOR DEL NIVEL DE ACEITE
0001-0755-020,UN,INDICADOR DEL NIVEL DE ACEITE
0001-0759-400,UN,TERMÓMETRO DE CUADRANTE
0001-0764-400,UN,BRIDA
0001-0767-400,UN,BRIDA
0001-0770-000,UN,BRIDA
0001-0771-000,UN,BRIDA
0001-0778-000,UN,BRIDA
0001-0786-400,UN,BRIDA DE COLLARÍN PARA SOLDAR
0001-0790-850,UN,MIRILLA DE INSPECCIÓN
0001-0794-870,UN,MIRILLA DE INSPECCIÓN
0001-0803-000,UN,TRANSDUCTOR DE PRESIÓN
0001-0804-000,UN,TRANSDUCTOR DE PRESIÓN
0001-0819-000,UN,BRIDA
0001-0821-300,UN,REBORDE
0001-0825-000,UN,BRIDA
0001-0828-000,UN,BRIDA
0001-0830-000,UN,BRIDA
0001-0899-300,UN,TAPA CIEGA
0001-0917-400,UN,TRANSDUCTOR DE PRESIÓN
0001-0924-800,UN,MIRILLA
0001-0925-870,UN,MIRILLA DE INSPECCIÓN
0001-0926-800,UN,MIRILLA
0001-0928-870,UN,MIRILLA DE INSPECCIÓN
0001-0929-820,UN,TUBO DE CENTRÍFUGA
0001-0951-300,UN,REBORDE
0001-0960-640,UN,TRANSDUCTOR DE PRESIÓN
0001-0961-640,UN,TRANSDUCTOR DE PRESIÓN
0001-0963-820,UN,MIRILLA DE INSPECCIÓN
0001-0965-000,UN,TRANSDUCTOR DE PRESIÓN
0001-0970-870,UN,MIRILLA DE INSPECCIÓN
0001-0979-400,UN,MIRILLA, COMP.
0001-0996-420,UN,CAJA DE MIRILLA
0001-0997-400,UN,MIRILLA, COMP.
0001-1002-400,UN,MIRILLA, COMP.
0001-1002-410,UN,CAJA DE MIRILLA, SOLD.
0001-1019-410,UN,CAUDALÍMETRO
0001-1043-300,UN,PORTAMIRILLA
0001-1078-400,UN,CAUDALÍMETRO
0001-1104-700,UN,JUNTA DE PERFIL
0001-1136-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1149-400,UN,SENSOR DE VALOR DE MEDICIÓN
0001-1155-820,UN,MATRAZ DE FONDO PLANO
0001-1157-610,UN,CAUDALÍMETRO
0001-1158-610,UN,CAUDALÍMETRO
0001-1159-610,UN,CAUDALÍMETRO
