codigo,descripcion,unidad_medida,tipo
AUD-01,Protector auditivo de copa COPA para Casco - LIBUS L-320,Unidades,Auditivo
AUD-02,Protector auditivo de copa COPA para Casco - LIBUS L-340,Unidades,Auditivo
AUD-03,Protector auditivo de copa COPA para Casco - LIBUS L-360 ,Unidades,Auditivo
AUD-04,Protector auditivo trialeta QUANTUM LIBUS,Unidades,Auditivo
BLO-01,Bloqueador Eléctrico Mini Pin,Unidades,Bloqueo
BLO-02,Bloqueador Tarjeta 6 Posiciones Plástica,Unidades,Bloqueo
BLO-03,Caja De Bloqueo Indirecto ,Unidades,Bloqueo
BLO-04,Candado Sekur 40 Doble Traba,Unidades,Bloqueo
BLO-05,Candado Termoplástico Dieléctrico,Unidades,Bloqueo
BLO-06,Cartel Tarjeta Peligro 10 X 15,Unidades,Bloqueo
BLO-07,Porta Candado Tipo Tijera ,Unidades,Bloqueo
BLO-08,Precinto Cola raton - Numerados ,Unidades,Bloqueo
CAL-01,Bota de Nieve - Himalaya - Talle 38,Unidades,Calzado
CAL-02,Bota de Nieve - Himalaya - Talle 39,Unidades,Calzado
CAL-03,Bota de Nieve - Himalaya - Talle 40,Unidades,Calzado
CAL-04,Bota de Nieve - Himalaya - Talle 41,Unidades,Calzado
CAL-05,Bota de Nieve - Himalaya - Talle 42,Unidades,Calzado
CAL-06,Bota de Nieve - Himalaya - Talle 43,Unidades,Calzado
CAL-07,Bota de Nieve - Himalaya - Talle 44,Unidades,Calzado
CAL-08,Bota de Nieve - Himalaya - Talle 45,Unidades,Calzado
CAL-09,Bota de Nieve - Himalaya - Talle 46,Unidades,Calzado
CAL-10,Botin Minero - Funcional Capri - Talle 37,Unidades,Calzado
CAL-11,Botin Minero - Funcional Capri - Talle 38,Unidades,Calzado
CAL-12,Botin Minero - Funcional Capri - Talle 39,Unidades,Calzado
CAL-13,Botin Minero - Funcional Capri - Talle 40,Unidades,Calzado
CAL-14,Botin Minero - Funcional Capri - Talle 41,Unidades,Calzado
CAL-15,Botin Minero - Funcional Capri - Talle 42,Unidades,Calzado
CAL-16,Botin Minero - Funcional Capri - Talle 43,Unidades,Calzado
CAL-17,Botin Minero - Funcional Capri - Talle 44,Unidades,Calzado
CAL-18,Botin Minero - Funcional Capri - Talle 45,Unidades,Calzado
CAL-19,Botin Minero - Funcional Capri - Talle 46,Unidades,Calzado
CAL-20,Botin Minero - Funcional Rander - Talle 37,Unidades,Calzado
CAL-21,Botin Minero - Funcional Rander - Talle 38,Unidades,Calzado
