cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
AUD-01,Oficina San Juan,Oficina San Juan ,14,0.00,0.00
AUD-02,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
AUD-03,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
AUD-04,Oficina San Juan,Oficina San Juan ,195,0.00,0.00
BLO-01,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
BLO-02,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
BLO-03,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
BLO-04,Oficina San Juan,Oficina San Juan ,4,0.00,0.00
BLO-05,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
BLO-06,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
BLO-07,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
BLO-08,Oficina San Juan,Oficina San Juan ,70,0.00,0.00
CAL-01,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-02,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-03,Oficina San Juan,Oficina San Juan ,2,0.00,0.00
CAL-04,Oficina San Juan,Oficina San Juan ,2,0.00,0.00
CAL-05,Oficina San Juan,Oficina San Juan ,4,0.00,0.00
CAL-06,Oficina San Juan,Oficina San Juan ,6,0.00,0.00
CAL-07,Oficina San Juan,Oficina San Juan ,3,0.00,0.00
CAL-08,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-09,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-10,Oficina San Juan,Oficina San Juan ,2,0.00,0.00
CAL-11,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-12,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-13,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-14,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-15,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-16,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-17,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-18,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-19,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-20,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-21,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-22,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-23,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-24,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-25,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-26,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-27,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-28,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-29,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-30,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-31,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-32,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-33,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-34,Oficina San Juan,Oficina San Juan ,3,0.00,0.00
CAL-35,Oficina San Juan,Oficina San Juan ,3,0.00,0.00
CAL-36,Oficina San Juan,Oficina San Juan ,5,0.00,0.00
CAL-37,Oficina San Juan,Oficina San Juan ,5,0.00,0.00
CAL-38,Oficina San Juan,Oficina San Juan ,4,0.00,0.00
CAL-39,Oficina San Juan,Oficina San Juan ,1,0.00,0.00
CAL-40,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-41,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-42,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
CAL-43,Oficina San Juan,Oficina San Juan ,0,0.00,0.00
