codigo,marca,modelo,tipo,descripcion,panol
AL 8000,Bremen,9 Piezas,Manuales,Extractor de rodamientos,Pañol Veladero
AL 8001,Bremen,6 Piezas,Manuales,Juego de destornilladores relojero,Pañol Veladero
AL 8002,Biassoni,64 mm,De Corte,Tijera cortatubos,Pañol Veladero
AL 8003,Wembley,4 Boquillas,Manuales,Remachadora,Pañol Veladero
AL 8004,Total,thitq15501,Medición,Termómetro infrarrojo,Pañol Veladero
AL 8005,Hamilton,ult111,Inalámbricas,Taladro a batería c/percutor,Pañol Veladero
AL 8006,Hamilton,ult111,Inalámbricas,Taladro a batería c/percutor,Pañol Veladero
AL 8007,Hamilton,ult111,Inalámbricas,Taladro a batería c/percutor,Pañol Veladero
AL 8008,Labor,lab17012,Eléctricas,Mascara fotosensible para soldador,Pañol Veladero
AL 8009,Total,tl 1108236-4,Eléctricas,Cepillo eléctrico,Pañol Veladero
AL 8010,Makita,bo4510h,Eléctricas,Lijadora orbital,Pañol Veladero
AL 8011,NRucci,cr-ni 27mm,Manuales,Pinza auto ajustable mordaza,Pañol Veladero
AL 8012,NRucci,cr-ni 27mm,Manuales,Pinza auto ajustable mordaza,Pañol Veladero
AL 8013,Biassoni,250 mm,De Corte,Tijera corta chapa recta,Pañol Veladero
AL 8014,Bremen,"6""",Manuales,Alicate corte oblicuo,Pañol Veladero
AL 8015,Mota,"200 mm 8""",Manuales,Pinza de punta semiredonda,Pañol Veladero
AL 8016,Total,50 x 150 mm,Manuales,Prensa para carpintero,Pañol Veladero
AL 8017,Bremen,120 x 400 mm,Manuales,Prensa para carpintero,Pañol Veladero
AL 8018,Bremen,"6""",Manuales,Alicate corte oblicuo,Pañol Veladero
AL 8019,N/A,300 mm,Manuales,Punta hexagonal de acero,Pañol Veladero
AL 8020,N/A,300 mm,Manuales,Punta hexagonal de acero,Pañol Veladero
AL 8021,N/A,300 mm,Manuales,Punta hexagonal de acero,Pañol Veladero
AL 8022,N/A,300 mm,Manuales,Punta hexagonal de acero,Pañol Veladero
AL 8023,N/A,300 mm,Manuales,Punta hexagonal de acero,Pañol Veladero
AL 8024,Chayto,301 mm,De Corte,Corta hierro hexagonal de acero,Pañol Veladero
AL 8025,Chayto,302 mm,De Corte,Corta hierro hexagonal de acero,Pañol Veladero
AL 8026,Chayto,303 mm,De Corte,Corta hierro hexagonal de acero,Pañol Veladero
AL 8027,Chayto,304 mm,De Corte,Corta hierro hexagonal de acero,Pañol Veladero
AL 8028,Chayto,305 mm,De Corte,Corta hierro hexagonal de acero,Pañol Veladero
AL 8029,Ridgid,"24 """,Manuales,Llave de caño stilson,Pañol Veladero
AL 8030,Bahco,143,Manuales,Llave de caño bahco 143,Pañol Veladero
AL 8031,Bahco,144,Manuales,Llave de caño bahco 144,Pañol Veladero
AL 8032,Evel,8 metros,Medición,Cinta métrica,Pañol Veladero
