cliente,descripcion,fecha_ingreso,fecha_garantia,marca,codigo,sector,grupo,criticidad,estado,fecha_ultimalectura,ultima_lectura,descrip_tecnica,area,proceso,numero_serie,meta_disponibilidad,procesado,fec_proceso,unidad_industrial
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-101-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-101-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-102-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-102-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-103-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-103-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-104-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-104-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-105-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-105-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-106-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-106-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-107-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-107-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-108-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-108-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-109-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-109-HAB-SV,,,,a Confirmar
VELADERO,MODULO SEMI VIP  A1,01-11-2023,31-10-2025,N/A,A1-110-HAB-SV,Plataforma Nro 1,Camp Los Amarillos,ALTA,IN,,,MODULO HABITACIONAL,ADMIN CAMP,SSGG,A1-110-HAB-SV,,,,a Confirmar
