CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10170986,unidad,PLATE-METAL-1250 MM-2500 MM-6 MM-SS,PLANCHA- ACERO INOXIDABLE AISI 304- 2500MM X 1250MM X 6MM- 150KG
10170987,unidad,PLATE-METAL-1250 MM-2500 MM-3 MM-SS,PLANCHA- ACERO INOXIDABLE AISI 304- 2500MM X 1250MM X 3MM- 90KG
10171262,unidad,ADAPTER-SLV-M45 X 1.5 MM-FOR MTRC SFT,MANGUITO DE FIJACION- SKF H309
10172577,unidad,SCREW-RND HD-1/4 IN-1 IN-GR 8-BULKHEAD,TORNILLO- CABEZA REDONDA- PASANTE- GRADO 8- 1/4 X 1 IN
10172578,unidad,SCREW-RND HD-1/4 IN-2 IN-GR 8-BULKHEAD,TORNILLO- CABEZA REDONDA- PASANTE- GRADO 8- 1/4 X 2 IN
10172585,unidad,WASHER-PRESS-3/8 IN,ARANDELA- PRESION- 3/8 IN
10172586,unidad,WASHER-PRESS-3/4 IN,ARANDELA- PRESION- 3/4 IN
10172588,unidad,WASHER-LOCK-1/4 IN,ARANDELA- GROWER- 1/4 IN
10172589,unidad,WASHER-LOCK-3/8 IN,ARANDELA- GROWER- 3/8 IN
10172590,unidad,WASHER-LOCK-GROWER-3/4 IN,ARANDELA- GROWER- 3/4 IN
10172591,unidad,WASHER-LOCK-GROWER-5/8 IN,ARANDELA- GROWER- 5/8 IN
10172593,unidad,WASHER-LOCK-1/2 IN,ARANDELA- GROWER- 1/2 IN
10172741,unidad,SCREW-6 IN-5/8 IN-TEL-FIX,TORNILLO- TEL-FIX- 6IN X 5/8IN- CAJA X 1000/UND
10172742,unidad,SCREW-6 IN-1 IN-TEL-FIX-700 UNIT PER BOX,TORNILLO- TEL-FIX- 6IN X 1IN- CAJA X 700/UND
10172743,unidad,SCREW-6 IN-1-1/2 IN-TEL-FIX,TORNILLO- TEL-FIX- 6IN X 1-1/2IN- CAJA X 500/UND
10172744,unidad,SCREW-8 IN-1-1/2 IN-TEL-FIX,TORNILLO- TEL-FIX- 8IN X 1-1/2IN- CAJA X 350/UND
10172745,unidad,SCREW-8 IN-2 IN-TEL-FIX-200 UNIT PER BOX,TORNILLO- TEL-FIX- 8IN X 2IN- CAJA X 200/UND
10172746,unidad,SCREW-8 IN-5/8 IN-TEL-FIX,TORNILLO- TEL-FIX- 8IN X 5/8IN- CAJA X 1000/UND
10172747,unidad,SCREW-10 IN-2 IN-TEL-FIX,TORNILLO- TEL-FIX- 10IN X 2IN- CAJA X 200/UND
10172748,unidad,SCREW-8 IN-1/2 IN-TEL-DRY-T1,TORNILLO- TEL-DRY T1 MECHA- 8IN X 1/2IN- CAJA X 800/UND
10172749,unidad,SCREW-8 IN-1 IN-TEL-DRY-T1,TORNILLO- TEL-DRY T1 MECHA- 8IN X 1IN- CAJA X 500/UND
10172750,unidad,SCREW-8 IN-3/4 IN-TEL-DRY-T1,TORNILLO- TEL -DRY T1 MECHA- 8IN X 3/4IN- CAJA X 500/UND
10172751,unidad,SCREW-6 IN-1-5/8 IN-TEL-DRY-T2,TORNILLO- TEL -DRY T2 MECHA- 6IN X 1-5/8IN- CAJA X 400/UND
10172752,unidad,SCREW-NDL-6 IN-1 IN-TEL-DRY-T2,TORNILLO- TEL -DRY T2 AGUJA- 6IN X 1IN- CAJA X 900/UND
10172753,unidad,SCREW-NDL-6 IN-1-1/2 IN-TEL-DRY-T3,TORNILLO- TEL -DRY T3 AGUJA- 6IN X 1-1/2IN- CAJA X 400/UND
10172754,unidad,SCREW-NDL-6 IN-2 IN-TEL-DRY-T4,TORNILLO- TEL -DRY T4 AGUJA- 6IN X 2IN- CAJA X 250/UND
10172755,unidad,BOARD-PHENOLIC-WOD-1.22 X 2.44 M-18 MM,TABLERO- MADERA- FENOLICO- 18 MM- 1.22 X 2.44 M
10172756,unidad,BOARD-PHENOLIC-WOD-1.22 X 2.44 M-15 MM,TABLERO- MADERA- FENOLICO- 15 MM- 1.22 X 2.44 M
10172757,unidad,BOARD-PHENOLIC-WOD-1.22 X 2.44 M-9 MM,TABLERO- MADERA- FENOLICO- 9 MM- 1.22 X 2.44 M
10172758,unidad,BOARD-NTRL WOD-1.8 X 2.6 M-15 MM-MDF,TABLERO- MADERA- MDF- NATURAL- 15 MM- 1.80 X 2.60 M
10172759,unidad,BOARD-WHT WOD-1.8 X 2.6 M-18 MM-MDF,TABLERO- MADERA- MDF- BLANCA- 18 MM- 1.80 X 2.60 M
10172760,unidad,BOARD-WHT WOD-1.8 X 2.6 M-15 MM-MDF,TABLERO- MADERA- MDF- BLANCA- 15 MM- 1.80 X 2.60 M
10172761,unidad,BOARD-BEECH WOD-1.8 X 2.6 M-3 MM-MDF,TABLERO- MADERA- MDF- PLUS- HAYA- 3 MM- 1.80 X 2.60 M
10172762,unidad,BOARD-WHT WOD-1.8 X 2.6 M-3 MM-MDF,TABLERO- MADERA- MDF- PLUS- BLANCA- 3 MM- 1.80 X 2.60 M
